Bait	PreyGene	#Rep	AvgP	BFDR
ACTB	CDIPT	3	0.0072	0.8261
KRT8	CDIPT	3	1	0
LMNA	CDIPT	3	0.2439	0.5507
MAPRE3	CDIPT	3	0.0146	0.795
ACTB	PDCD5	3	0.0106	0.8123
KRT8	PDCD5	3	0.0291	0.7547
LMNA	PDCD5	3	0.0088	0.8198
ACTB	SLC9A3R1	3	0.1544	0.6274
CTNNA1	SLC9A3R1	3	0.0265	0.76
LMNA	SLC9A3R1	3	0.0676	0.7061
KRT8	CHEK1	3	0.0105	0.8127
LMNA	CHEK1	3	0.0028	0.8451
ACTB	TCERG1	3	0.0001	0.865
KRT8	TCERG1	3	0.0018	0.8502
LMNA	TCERG1	3	0.0101	0.8144
MAPRE3	TCERG1	3	0.0001	0.865
ACTB	NDC80	3	0.2784	0.5123
KRT8	NDC80	3	0.9483	0.0037
MAPRE3	NDC80	3	0.0097	0.8161
ACTB	TNPO2	3	0.0113	0.8094
KRT8	TNPO2	3	0.9921	0.0006
CTNNA1	UNC13B	3	0.1836	0.6032
KRT8	UNC13B	3	0.0835	0.6899
LMNA	UNC13B	3	0.0623	0.7117
MAPRE3	UNC13B	3	0.1179	0.6596
KRT8	POLR3A	3	0.0433	0.7335
ACTB	PSMA7	3	0.0069	0.8272
KRT8	PSMA7	3	0.0155	0.7917
MAPRE3	PSMA7	3	0.0041	0.8393
ACTB	SCAMP3	3	0.0122	0.8053
KRT8	SCAMP3	3	0.0426	0.7342
ACTB	MGST3	3	0.1147	0.6627
KRT8	MGST3	3	0.0822	0.6916
LMNA	MGST3	3	0.1576	0.6251
ACTB	TAX1BP3	3	0.082	0.692
CTNNA1	TAX1BP3	3	0.0077	0.824
KRT8	TAX1BP3	3	0.0316	0.7501
MAPRE3	TAX1BP3	3	0.0086	0.8207
KRT8	GIPC1	3	0.0033	0.8429
ACTB	HAT1	3	0.1979	0.591
CTNNA1	HAT1	3	0.0623	0.7117
KRT8	HAT1	3	0.2163	0.5754
LMNA	HAT1	3	0.3084	0.4791
MAPRE3	HAT1	3	0.1489	0.6328
ACTB	MYL12B	3	0.084	0.6894
CTNNA1	MYL12B	3	0.0113	0.8094
KRT8	MYL12B	3	0.124	0.6546
LMNA	MYL12B	3	0.0319	0.7495
MAPRE3	MYL12B	3	0.0188	0.7795
ACTB	AURKA	3	0.0029	0.8445
KRT8	AURKA	3	0.0028	0.8451
MAPRE3	AURKA	3	0.7094	0.0489
LMNA	RAB29	3	1	0
ACTB	VPS26C	3	0.0054	0.8334
ACTB	PPP1R12A	3	0.347	0.3557
CTNNA1	PPP1R12A	3	0.1709	0.6149
KRT8	PPP1R12A	3	0.262	0.532
LMNA	PPP1R12A	3	0.0524	0.7219
MAPRE3	PPP1R12A	3	0.2516	0.5424
ACTB	GAK	3	0.0256	0.7621
CTNNA1	GAK	3	0.0005	0.8597
KRT8	GAK	3	0.0281	0.7566
LMNA	GAK	3	0.0031	0.8437
MAPRE3	GAK	3	0.0098	0.8157
ACTB	HNRNPDL	3	0.0145	0.7955
CTNNA1	HNRNPDL	3	0.0101	0.8144
KRT8	HNRNPDL	3	0.2687	0.5239
LMNA	HNRNPDL	3	0.2525	0.5413
MAPRE3	HNRNPDL	3	0.0074	0.8253
ACTB	XPO1	3	0.2186	0.573
CTNNA1	XPO1	3	0.0416	0.7356
KRT8	XPO1	3	0.263	0.5305
LMNA	XPO1	3	0.2043	0.5853
MAPRE3	XPO1	3	0.1296	0.6504
KRT8	BTAF1	3	0.0006	0.8588
LMNA	BTAF1	3	0.0775	0.6958
ACTB	ARHGEF10	3	0.01	0.8148
CTNNA1	ARHGEF10	3	0.0002	0.8634
KRT8	ARHGEF10	3	0.0221	0.77
MAPRE3	ARHGEF10	3	0.0001	0.865
ACTB	ZNF609	3	0.0025	0.8466
LMNA	ZNF609	3	0.0213	0.7717
MAPRE3	ZNF609	3	0.0003	0.8621
ACTB	PDZD2	3	0.6439	0.1342
ACTB	SPTBN2	3	0.4651	0.2005
CTNNA1	SPTBN2	3	0.0003	0.8621
KRT8	SPTBN2	3	0.0111	0.8104
LMNA	SPTBN2	3	0.0007	0.8579
ACTB	SEC16A	3	0.2658	0.527
CTNNA1	SEC16A	3	0.1141	0.6631
KRT8	SEC16A	3	0.3405	0.3677
LMNA	SEC16A	3	0.162	0.6215
MAPRE3	SEC16A	3	0.2223	0.5698
ACTB	PLXNB2	3	0.0006	0.8588
KRT8	PLXNB2	3	0.0054	0.8334
ACTB	U2SURP	3	0.2004	0.5887
CTNNA1	U2SURP	3	0.007	0.8268
KRT8	U2SURP	3	0.1579	0.6246
LMNA	U2SURP	3	0.2864	0.5027
MAPRE3	U2SURP	3	0.1793	0.6068
ACTB	KDM6B	3	0.0137	0.7987
KRT8	KDM6B	3	0.0068	0.8277
LMNA	KDM6B	3	0.0001	0.865
ACTB	SYNJ2	3	0.3765	0.2926
CTNNA1	SYNJ2	3	0.2739	0.5181
KRT8	SYNJ2	3	0.3695	0.3099
LMNA	SYNJ2	3	0.1212	0.6571
MAPRE3	SYNJ2	3	0.3547	0.3365
ACTB	SYNM	3	0.1826	0.6042
CTNNA1	SYNM	3	0.0611	0.7129
KRT8	SYNM	3	0.2783	0.5125
LMNA	SYNM	3	0.1275	0.6522
MAPRE3	SYNM	3	0.1235	0.6551
KRT8	GARRE1	3	0.02	0.7755
ACTB	PFAS	3	0.0173	0.7843
CTNNA1	PFAS	3	0.0169	0.7858
KRT8	PFAS	3	0.0556	0.7185
LMNA	PFAS	3	0.0127	0.8033
MAPRE3	PFAS	3	0.0065	0.8289
ACTB	CEP290	3	0.0186	0.7799
CTNNA1	CEP290	3	0.0001	0.865
KRT8	CEP290	3	0.1461	0.6353
MAPRE3	CEP290	3	0.0028	0.8451
KRT8	ERC2	3	0.185	0.6021
ACTB	ANKRD28	3	0.0145	0.7955
CTNNA1	ANKRD28	3	0.0005	0.8597
KRT8	ANKRD28	3	0.0237	0.7666
LMNA	ANKRD28	3	0.0011	0.8545
MAPRE3	ANKRD28	3	0.0047	0.8366
ACTB	ARHGEF11	3	0.9423	0.005
KRT8	ARHGEF11	3	0.0087	0.8203
ACTB	PRORP	3	0.0063	0.8298
KRT8	PRORP	3	1	0
LMNA	PRORP	3	0.0252	0.7633
ACTB	ARPC1B	3	1	0
KRT8	ARPC1B	3	0.8761	0.011
LMNA	ARPC1B	3	0.1791	0.6071
ACTB	ARPC2	3	0.6646	0.1238
KRT8	ARPC2	3	0.172	0.6135
ACTB	BET1	3	0.0478	0.7278
CTNNA1	BET1	3	0.0171	0.7851
KRT8	BET1	3	0.0542	0.7201
LMNA	BET1	3	0.6454	0.1334
MAPRE3	BET1	3	0.0118	0.8069
ACTB	TRIM24	3	0.0018	0.8502
LMNA	TRIM24	3	0.0132	0.8011
MAPRE3	TRIM24	3	0	0.8672
ACTB	PGRMC2	3	0.2248	0.5674
CTNNA1	PGRMC2	3	0.0355	0.7445
KRT8	PGRMC2	3	0.258	0.5354
LMNA	PGRMC2	3	0.2632	0.5302
MAPRE3	PGRMC2	3	0.0652	0.7083
ACTB	PFDN6	3	1	0
KRT8	PFDN6	3	1	0
ACTB	WDR46	3	0.0861	0.6872
ACTB	NKRF	3	0.0955	0.6793
CTNNA1	NKRF	3	0.0378	0.741
KRT8	NKRF	3	0.2209	0.5715
LMNA	NKRF	3	0.1869	0.6007
ACTB	ZNF185	3	0.9973	0.0001
KRT8	ZNF185	3	0.01	0.8148
ACTB	RER1	3	0.3333	0.3843
KRT8	RER1	3	0.3333	0.3843
LMNA	RER1	3	0.3333	0.3843
ACTB	SURF4	3	0.2483	0.5464
CTNNA1	SURF4	3	0.0595	0.7145
KRT8	SURF4	3	0.3983	0.2602
LMNA	SURF4	3	0.3976	0.261
MAPRE3	SURF4	3	0.2161	0.5756
ACTB	SPTLC1	3	0.0145	0.7955
KRT8	SPTLC1	3	0.9681	0.0018
LMNA	SPTLC1	3	0.3395	0.3716
ACTB	OGT	3	0.0153	0.7926
CTNNA1	OGT	3	0	0.8672
KRT8	OGT	3	0.0668	0.7068
LMNA	OGT	3	0.0199	0.7758
MAPRE3	OGT	3	0.0086	0.8207
CTNNA1	PMM2	3	0.0347	0.7457
ACTB	PPM1G	3	0.1461	0.6353
CTNNA1	PPM1G	3	0.0256	0.7621
KRT8	PPM1G	3	0.0895	0.6839
LMNA	PPM1G	3	0.1887	0.5993
MAPRE3	PPM1G	3	0.0242	0.7655
ACTB	INPPL1	3	0.3136	0.4733
CTNNA1	INPPL1	3	0.1524	0.6291
KRT8	INPPL1	3	0.3231	0.4624
LMNA	INPPL1	3	0.1458	0.6356
MAPRE3	INPPL1	3	0.233	0.5597
ACTB	EIF3D	3	0.1031	0.6725
CTNNA1	EIF3D	3	0.0103	0.8135
KRT8	EIF3D	3	0.1867	0.6009
LMNA	EIF3D	3	0.108	0.6676
MAPRE3	EIF3D	3	0.0292	0.7544
ACTB	EIF3H	3	0.206	0.5839
CTNNA1	EIF3H	3	0.0618	0.7123
KRT8	EIF3H	3	0.3562	0.3331
LMNA	EIF3H	3	0.2174	0.5746
MAPRE3	EIF3H	3	0.1535	0.6284
ACTB	NVL	3	0.0001	0.865
LMNA	NVL	3	0.0254	0.7627
ACTB	IPO8	3	0.0126	0.8036
KRT8	IPO8	3	0.2709	0.5213
LMNA	IPO8	3	0.0124	0.8045
MAPRE3	IPO8	3	0.0019	0.8497
ACTB	SLC16A3	3	0.4239	0.235
CTNNA1	SLC16A3	3	0.0337	0.7474
KRT8	SLC16A3	3	0.7913	0.0249
LMNA	SLC16A3	3	0.2946	0.4936
MAPRE3	SLC16A3	3	0.0954	0.6795
LMNA	YKT6	3	0.9987	0.0001
ACTB	NUP42	3	0.0003	0.8621
KRT8	NUP42	3	0.0045	0.8375
ACTB	ARPC5	3	0.4344	0.2228
KRT8	ARPC5	3	0.2153	0.5762
LMNA	ARPC5	3	0.0164	0.7877
MAPRE3	ARPC5	3	0.0002	0.8634
CTNNA1	TAPBP	3	0.3162	0.4701
LMNA	TAPBP	3	0.3327	0.4501
MAPRE3	TAPBP	3	0.3332	0.4487
LMNA	RNF113A	3	0.9986	0.0001
ACTB	KDM6A	3	0.0457	0.7305
ACTB	DHX15	3	0.023	0.7682
CTNNA1	DHX15	3	0.0098	0.8157
KRT8	DHX15	3	0.0229	0.7683
LMNA	DHX15	3	0.1476	0.6338
MAPRE3	DHX15	3	0.0142	0.7968
ACTB	RNMT	3	0.0468	0.7291
LMNA	RNMT	3	0.1747	0.6103
