Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
KRT8	GTF2H1	GTF2H1	1.540|.|1.641	4.026	1.342	3	1.679|.|0.305|.|.|.|.|.|.	0.016	0.029	0.016	0.029	0.016	-8.387	1.876	0.870	
KRT8	RPL9	RPL9	1.778|2.553|2.383	6.714	2.238	3	1.381|1.682|1.481|0.782|1.057|1.043|0.856|0.763|0.818	0.026	0.046	0.026	0.046	0.026	-5.836	2.126	0.808	
KRT8	KIF5B	KIF5B	3.457|3.523|3.953	10.933	3.644	3	4.042|4.136|4.360|.|.|0.181|0.241|0.282|.	0.016	0.017	0.016	0.017	0.016	-4.155	3.709	0.868	
KRT8	CSTF2	CSTF2	1.899|1.886|1.914	5.698	1.899	3	4.212|4.402|4.422|0.240|.|.|.|.|.	0.005	0.005	0.005	0.005	0.005	-5.238	0.902	0.939	
KRT8	DUT	DUT	1.700|1.576|1.555	4.831	1.610	3	1.722|2.009|2.339|2.269|2.520|2.158|1.969|2.145|2.127	0.000	0.000	0.000	0.000	0.000	-12.613	0.757	0.983	
KRT8	ABCC1	ABCC1	0.471|0.649|.	1.964	0.655	3	0.544|0.536|0.421|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.338	1.316	0.972	
KRT8	ABCD1	ABCD1	0.822|0.708|0.728	2.258	0.753	3	0.857|0.872|1.034|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.096	0.820	0.981	
KRT8	KDELR2	KDELR2	0.868|1.209|1.407	3.484	1.161	3	0.633|0.872|1.222|0.265|0.277|0.293|0.213|0.197|0.220	0.053	0.087	0.053	0.087	0.053	-3.995	3.127	0.739	
KRT8	TTK	TTK	3.010|2.980|4.385	10.375	3.458	3	3.758|3.514|3.757|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.649	0.941	0.975	
KRT8	MCM4	MCM4	1.437|1.299|1.828	4.563	1.521	3	1.916|1.805|2.419|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-13.924	0.749	0.982	
KRT8	MCM5	MCM5	0.503|0.659|0.639	1.801	0.600	3	0.961|0.902|0.891|.|0.200|.|.|.|.	0.001	0.001	0.001	0.001	0.001	-7.494	0.958	0.961	
KRT8	MCM7	MCM7	3.875|4.152|4.251	12.279	4.093	3	3.841|3.675|4.275|0.579|0.766|0.332|0.542|0.304|0.528	0.028	0.030	0.028	0.030	0.028	-3.609	4.212	0.795	
KRT8	SHMT1	SHMT1	0.504|0.824|0.880	2.208	0.736	3	0.669|0.338|0.397|.|0.257|0.223|.|.|.	0.034	0.062	0.034	0.062	0.034	-7.043	2.112	0.781	
KRT8	HSPA4	HSPA4	0.585|0.988|0.845	2.417	0.806	3	1.831|1.555|1.668|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.479	0.985	
KRT8	PRSS3	PRSS3	0.452|0.372|0.641	1.465	0.488	3	0.497|0.565|0.663|0.523|0.670|0.567|0.492|0.405|0.535	0.000	0.000	0.000	0.000	0.000	-13.202	0.903	0.975	
KRT8	PFN2	PFN2	1.747|1.557|1.891	5.196	1.732	3	1.056|1.800|2.205|2.332|2.447|1.862|1.862|1.917|1.990	0.000	0.000	0.000	0.000	0.000	-11.534	0.914	0.978	
KRT8	CTNNA1	CTNNA1	3.341|3.685|3.884	10.910	3.637	3	5.033|5.069|5.418|0.189|.|0.211|0.341|0.245|0.245	0.062	0.065	0.062	0.065	0.062	-2.774	4.775	0.716	
KRT8	PHB	PHB	2.082|1.984|2.248	6.313	2.104	3	2.367|3.027|2.663|0.823|1.206|1.305|1.136|0.903|0.914	0.002	0.003	0.002	0.003	0.002	-6.743	1.484	0.956	
KRT8	SERPINB6	SERPINB6	2.627|2.608|3.085	8.320	2.773	3	1.438|3.448|4.417|3.806|4.338|3.803|3.557|3.500|3.672	0.000	0.000	0.000	0.000	0.000	-12.189	0.813	0.981	
KRT8	NF2	NF2	2.468|2.731|2.890	8.090	2.697	3	3.606|3.388|3.858|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-13.260	0.747	0.983	
KRT8	RFC4	RFC4	0.432|0.868|0.640	1.941	0.647	3	1.184|1.482|1.163|.|.|.|.|.|0.158	0.003	0.004	0.003	0.004	0.003	-6.819	0.859	0.952	
KRT8	RFC2	RFC2	0.344|0.407|.	1.595	0.532	3	0.746|1.364|1.296|0.286|0.448|.|0.282|.|.	0.000	0.000	0.000	0.000	0.000	-9.029	0.883	0.973	
KRT8	RFC1	RFC1	0.335|0.360|0.560	1.255	0.418	3	2.697|2.553|2.825|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.156	0.986	
KRT8	RPL22	RPL22	2.209|2.351|2.373	6.933	2.311	3	1.631|2.256|2.368|1.183|1.408|1.518|1.223|1.327|1.326	0.001	0.001	0.001	0.001	0.001	-7.079	1.505	0.960	
KRT8	KRT9	KRT9	3.407|11.497|4.848	19.752	6.584	3	4.909|11.603|6.883|19.794|9.856|3.134|5.827|17.061|6.644	0.001	0.002	0.001	0.002	0.001	-12.585	0.808	0.963	
KRT8	MYH9	MYH9	26.192|27.183|32.127	85.502	28.501	3	32.127|32.181|37.126|3.412|4.172|3.882|5.849|5.757|6.357	0.040	0.053	0.040	0.053	0.040	-3.418	3.111	0.767	
KRT8	MYH10	MYH10	1.624|1.641|0.409	3.674	1.225	3	0.778|0.908|3.011|.|.|.|.|.|.	0.001	0.002	0.001	0.002	0.001	-13.288	0.952	0.959	
KRT8	COPB2	COPB2	1.004|1.039|0.856	2.900	0.967	3	1.428|1.040|0.734|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.419	0.939	0.978	
KRT8	ADD1	ADD1	2.054|1.988|1.042	5.084	1.695	3	1.846|2.183|1.677|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.515	0.896	0.976	
KRT8	FUS	FUS	1.225|1.056|1.090	3.372	1.124	3	2.737|2.222|2.632|1.149|1.405|0.904|1.078|0.983|0.982	0.000	0.000	0.000	0.000	0.000	-12.480	0.789	0.982	
KRT8	NUP214	NUP214	8.233|8.497|9.822	26.552	8.851	3	10.580|9.963|11.043|0.425|0.440|0.523|0.811|0.714|0.929	0.072	0.079	0.072	0.079	0.072	-2.621	5.604	0.674	
KRT8	AHR	AHR	0.382|0.548|0.593	1.523	0.508	3	0.781|0.509|0.361|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.624	0.969	0.975	
KRT8	KRT2	KRT2	4.999|7.613|5.016	17.627	5.876	3	9.653|12.145|3.031|5.371|7.895|4.034|10.999|31.360|4.678	0.001	0.001	0.001	0.001	0.001	-8.237	0.760	0.966	
KRT8	PSMC2	PSMC2	1.968|2.178|2.500	6.647	2.216	3	1.747|1.990|2.071|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-9.752	1.147	0.971	
KRT8	ARL2	ARL2	1.093|1.076|1.657	3.826	1.275	3	1.662|1.461|1.435|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.891	0.841	0.978	
KRT8	ATP5F1C	ATP5F1C	0.940|0.821|1.064	2.825	0.942	3	0.839|1.365|1.073|0.365|0.519|.|0.286|.|.	0.003	0.005	0.003	0.005	0.003	-6.422	1.479	0.949	
KRT8	RPL4	RPL4	4.548|4.885|5.034	14.468	4.823	3	4.325|5.356|3.797|5.647|6.364|2.464|5.147|5.103|2.009	0.000	0.000	0.000	0.000	0.000	-9.293	1.147	0.972	
KRT8	LONP1	LONP1	0.302|.|0.515	1.662	0.554	3	0.354|0.519|0.629|.|0.246|.|.|.|0.175	0.001	0.002	0.001	0.002	0.001	-9.751	1.601	0.965	
KRT8	SERPINB5	SERPINB5	1.411|1.340|1.507	4.258	1.419	3	0.738|1.596|1.959|1.467|1.952|2.058|1.169|1.243|1.514	0.000	0.000	0.000	0.000	0.000	-10.577	0.973	0.977	
KRT8	GPX4	GPX4	0.926|0.824|1.025	2.775	0.925	3	.|0.844|0.922|.|0.144|0.381|0.377|0.307|.	0.016	0.023	0.016	0.023	0.016	-4.535	2.241	0.864	
KRT8	SRP14	SRP14	1.381|1.419|1.494	4.295	1.432	3	1.383|1.559|1.953|1.227|1.593|1.280|1.092|1.058|1.322	0.000	0.000	0.000	0.000	0.000	-9.791	1.051	0.975	
KRT8	NUP62	NUP62	1.820|1.903|2.763	6.485	2.162	3	1.713|1.952|2.220|.|.|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-10.455	1.108	0.969	
KRT8	HPCAL1	HPCAL1	0.287|0.309|0.501	1.097	0.366	3	0.312|.|0.712|0.220|0.324|0.293|0.273|0.272|.	0.001	0.002	0.001	0.002	0.001	-10.789	1.142	0.966	
KRT8	TAGLN2	TAGLN2	10.701|10.869|12.800	34.371	11.457	3	10.662|9.929|10.955|2.058|2.267|2.220|2.268|2.424|2.836	0.031	0.041	0.031	0.041	0.031	-3.634	2.973	0.787	
KRT8	SNCA	SNCA	1.965|1.962|2.793	6.719	2.240	3	2.486|2.342|2.531|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.769	0.914	0.976	
KRT8	RBMX	RBMX	1.029|1.028|0.939	2.997	0.999	3	1.060|1.191|1.271|1.265|1.307|1.193|0.997|0.944|1.061	0.000	0.000	0.000	0.000	0.000	-11.482	0.879	0.980	
KRT8	BRCA1	BRCA1	1.548|1.911|2.068	5.527	1.842	3	5.415|5.271|4.718|.|.|.|0.497|0.305|0.455	0.007	0.008	0.007	0.008	0.007	-5.063	1.271	0.928	
KRT8	COIL	COIL	0.491|0.925|0.502	1.918	0.639	3	1.975|3.443|3.309|.|.|.|0.263|0.451|0.254	0.003	0.005	0.003	0.005	0.003	-6.137	0.682	0.949	
KRT8	GGCX	GGCX	0.319|0.969|0.878	2.166	0.722	3	2.443|1.267|0.508|.|.|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-13.191	0.621	0.969	
KRT8	ATP6V1A	ATP6V1A	3.015|2.983|3.622	9.620	3.207	3	3.460|3.003|3.677|0.631|0.822|0.676|0.520|0.717|0.793	0.023	0.030	0.023	0.030	0.023	-3.937	2.752	0.820	
KRT8	HSPA9	HSPA9	6.012|5.847|5.953	17.812	5.937	3	4.321|6.407|7.072|4.835|5.440|4.801|4.517|5.096|4.908	0.000	0.000	0.000	0.000	0.000	-8.996	1.141	0.972	
KRT8	EIF4A3	EIF4A3	0.799|0.648|0.937	2.384	0.795	3	0.467|1.130|1.583|0.251|.|.|.|0.173|.	0.007	0.009	0.007	0.009	0.007	-5.421	1.542	0.932	
KRT8	RPL3	RPL3	3.185|3.731|4.327	11.243	3.748	3	2.911|3.421|4.012|0.942|1.216|1.062|0.951|0.725|0.924	0.028	0.043	0.028	0.043	0.028	-4.220	2.560	0.798	
KRT8	CUX1	CUX1	1.208|0.362|0.402	1.972	0.657	3	0.524|0.533|0.554|.|.|.|.|.|.	0.009	0.026	0.009	0.026	0.009	-13.383	1.224	0.919	
KRT8	TXLNA	TXLNA	0.472|0.672|0.751	1.895	0.632	3	.|0.625|0.560|.|0.592|0.314|0.237|.|0.206	0.005	0.009	0.005	0.009	0.005	-7.807	1.648	0.941	
KRT8	CCT6A	CCT6A	2.968|3.258|3.282	9.508	3.169	3	3.363|3.518|3.544|1.110|1.125|1.198|1.092|1.057|1.079	0.010	0.011	0.010	0.011	0.010	-4.952	1.953	0.913	
