Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
FOXP1	0	0	0	0	0	0	52071.703	47739.547	0	0	0	0	0	0	0	23963.268	0	14214.79	0	0	0	0	0	0
C11orf68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOLA2	242825	202841.81	309873.8	342293.84	300091.6	192037.53	122928.945	352625.6	270985.44	328042.38	412001.4	220234.36	197390.55	153087.9	237286.67	270904.3	225265.38	226692.94	122662.18	205989.38	215958.11	279984.56	271197.75	269601.7
TXNIP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12137.717	0	0	0	0	0	0	0	0	0
TMX1	0	0	0	0	0	0	0	0	25444.836	0	0	0	0	0	0	51753.812	123163.67	27575.041	0	0	0	0	0	0
NELFA	87468.93	0	89275.55	0	0	0	269857.06	266702.44	246397	0	0	0	0	0	0	173100.6	307153.9	241840.67	0	0	0	0	0	0
ACBD3	0	0	0	0	0	0	108724.266	15201.73	234237.08	8318.327	9636.958	0	0	0	0	0	0	0	0	0	0	10825.731	0	14892.085
CDC42EP4	0	0	13467.918	0	0	0	14602.041	0	33186.168	0	0	0	0	4722.2427	0	0	0	0	0	0	0	0	0	0
CENPH	24624.318	0	22540.79	0	0	0	150358.47	117644.69	160046.25	0	0	0	114169.945	111670.65	93560.47	96830.336	154692.84	84654.72	0	0	0	0	0	0
PTPN23	240464.12	238368.62	272001.16	0	5478.1387	0	508072.94	476379.47	437170.22	0	0	0	215672.9	294947.03	381829.44	4278.8613	0	0	11926.099	14186.9375	11917.307	0	0	0
UNC45A	699347.44	634596.3	659717.7	50596.656	53173.227	64482.098	670791.1	727182	740293.56	0	0	0	960965.8	1116996.2	1171100.4	129615.96	245280.67	98486.2	246516.1	185190.81	158579.28	0	0	0
PPDPF	64548.15	63481.207	75636.33	10536.186	17770.443	9455.552	71589.805	75271.305	108631.32	6498.899	10547.946	10846.461	68483.99	73226.65	102661.74	41126.797	65837.73	28256.564	29426.277	27148.21	24142.635	6742.967	9393.078	9270.824
DSN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44843.37	17343.672	0	0	0	0	0	0	0
C1orf198	253043.17	122654.68	295081.53	0	0	0	244637.53	161403.22	137721.48	0	0	0	530471.44	364709	688417.06	0	0	0	89129.77	49303.043	42389.89	0	0	0
CHMP4B	124202.59	63474.11	142279.64	10220.232	11572.938	10606.028	231897.25	121406.77	214800.83	0	0	0	121352.08	134610	133335.9	162816.81	252302.14	116137.95	40223.83	47228.367	20632.932	0	0	0
CUEDC2	53290.79	29816.277	59809.496	0	0	0	58626.805	35405.383	81296.12	0	0	0	28659.58	38352.586	70182.28	24197.066	42216.984	23892.613	13457.043	11911.088	8192.722	0	0	0
PIGU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121067.66	224390.3	156291.23	0	0	0	0	0	0
WNK1	569599.3	591503.8	850101.1	42561.65	82265.61	23933.34	1193780.4	1041569	1161998.5	0	0	0	587544.25	578451.94	886183.44	0	17179.021	0	197851.33	175975.75	195921.17	0	0	0
RNPEP	0	9582.892	83211.18	110202.8	64532.723	13833.971	0	61890.664	127295.22	97197.41	161868.55	83848.52	38489.812	0	20800.072	17183.588	46234.453	15942.262	0	0	33936.566	80988.8	109435.59	80741.02
GOLPH3L	15224.978	0	18719.486	0	0	0	12842.239	22195.545	13491.893	0	0	0	21150.54	0	0	0	0	0	0	0	0	0	0	0
GOLPH3	58521.516	66115.97	17962.361	25257.232	24163.223	0	73341.79	92363.44	121486.36	0	7083.838	0	48144.406	58853.35	81891.56	61179.543	88400.055	57187.04	37462.77	35235.562	36181.324	0	0	0
SAV1	0	0	6860.9565	0	0	0	0	4444.272	0	0	0	0	16700.97	19081.508	65113.152	0	0	0	0	0	0	0	0	0
