Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
MAPRE3	CDCA2	CDCA2	0.861|0.976|0.822	2.659	0.886	3	3.213|3.324|3.732|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-18.932	0.259	0.998	
MAPRE3	CDCA5	CDCA5	0.775|0.806|0.589	2.171	0.724	3	1.955|1.928|1.504|.|.|.|.|.|0.180	0.000	0.000	0.000	0.000	0.000	-8.498	0.720	0.992	
MAPRE3	CDCA8	CDCA8	0.971|1.101|1.414	3.486	1.162	3	1.021|2.391|2.934|.|.|.|.|.|0.149	0.001	0.001	0.001	0.001	0.001	-7.388	1.144	0.988	
MAPRE3	CDIPT	CDIPT	0.922|0.883|0.962	2.767	0.922	3	1.346|1.885|2.417|0.366|0.568|.|0.393|.|0.505	0.000	0.000	0.000	0.000	0.000	-8.292	1.122	0.992	
MAPRE3	CDK1	CDK1	1.338|1.290|0.919	3.547	1.182	3	2.217|3.255|1.927|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.225	0.492	0.997	
MAPRE3	CDK11B	CDK11B	0.428|0.431|0.873	1.732	0.577	3	3.407|3.380|3.355|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.171	0.998	
MAPRE3	CDK13	CDK13	0.368|0.525|0.487	1.380	0.460	3	4.838|4.477|5.392|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.094	0.998	
MAPRE3	CDK17	CDK17	0.343|.|0.377	1.693	0.564	3	0.899|1.057|1.755|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.372	0.476	0.998	
MAPRE3	CDK2	CDK2	0.234|0.427|0.455	1.115	0.372	3	0.629|0.925|1.287|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-18.364	0.409	0.997	
MAPRE3	CDK5RAP1	CDK5RAP1	0.232|.|.	2.177	0.726	3	.|1.021|0.662|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.143	0.882	0.998	
MAPRE3	CDK5RAP2	CDK5RAP2	7.971|7.119|7.975	23.064	7.688	3	5.251|6.044|6.918|.|0.144|.|.|0.419|.	0.002	0.002	0.002	0.002	0.002	-6.245	4.586	0.970	
MAPRE3	CDK6	CDK6	0.769|.|.	2.713	0.904	3	.|0.714|0.548|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-8.596	1.446	0.995	
MAPRE3	CDK9	CDK9	0.240|.|.	2.184	0.728	3	0.648|0.999|1.148|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-18.127	0.804	0.998	
MAPRE3	CDKAL1	CDKAL1	0.896|0.624|0.756	2.277	0.759	3	1.878|1.970|3.171|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.804	0.334	0.997	
MAPRE3	CDKL5	CDKL5	0.534|1.555|0.593	2.682	0.894	3	1.010|0.810|0.179|.|.|.|.|.|.	0.001	0.003	0.001	0.003	0.001	-8.254	1.694	0.981	
MAPRE3	CDKN2A	CDKN2A	0.612|0.434|0.640	1.685	0.562	3	0.706|1.178|1.994|0.706|0.867|0.746|0.552|0.604|0.621	0.000	0.000	0.000	0.000	0.000	-12.968	0.690	0.997	
MAPRE3	CDKN2AIP	CDKN2AIP	0.549|0.599|0.923	2.071	0.690	3	3.054|3.166|3.380|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.216	0.998	
MAPRE3	CDR2	CDR2	0.463|0.553|0.433	1.449	0.483	3	1.649|1.563|1.693|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-18.116	0.296	0.998	
MAPRE3	CDR2L	CDR2L	0.277|.|0.310	1.559	0.520	3	1.118|1.325|1.230|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.426	0.998	
MAPRE3	CDV3	CDV3	0.975|0.906|0.964	2.845	0.948	3	2.319|2.322|2.835|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.558	0.382	0.997	
MAPRE3	CEBPZ	CEBPZ	1.538|1.436|1.409	4.383	1.461	3	3.788|2.977|3.893|.|.|.|.|0.536|.	0.000	0.000	0.000	0.000	0.000	-9.133	0.663	0.994	
MAPRE3	CELF1	CELF1	0.139|0.170|.	1.281	0.427	3	0.740|1.053|1.490|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.406	0.998	
