Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
DIAPH2	390.8984375	325.3041382	426.3230286	39.69968796	39.29397583	48.56496048	379.6129456	402.7136841	318.5303345	0	0	0	263.5622864	259.9205933	396.7008972	57.50119019	69.50271606	33.63856506	123.1693268	153.3065796	88.15789032	8.230864525	12.93933868	12.08633614
BRD4	34.71121597	29.1195488	125.8938217	6.164804459	15.68192291	0	262.9869385	216.8157196	259.842865	0	0	0	20.06026077	40.21635437	96.07157135	89.03621674	146.3988037	94.79157257	21.31921196	22.10785866	22.49855804	0	5.233475685	5.950342178
CUTA	23.22177315	23.97248459	57.96046829	12.82353115	6.121735573	0	0	62.61777878	127.4595337	3.817174911	4.126116276	22.18018913	12.65711021	24.88471413	57.08203888	13.65669727	35.89675522	0	0	0	11.84623146	0	0	7.10518074
OPHN1	56.89437485	61.4098587	89.44464874	0	0	0	21.31304359	24.52266121	35.12578964	0	0	0	19.72218895	24.32657242	20.84369469	4.915439606	4.112521172	0	6.596273899	13.85501194	8.888759613	0	0	0
NBN	65.33244324	50.29967499	95.88660431	0	12.68743706	14.49511337	447.3375549	376.4219666	367.173645	0	12.56579018	0	80.59857941	81.25177765	93.96842194	234.2817383	389.5879211	151.1949768	27.2182312	44.67243958	18.35484695	5.242947102	8.196630478	7.30728054
RNGTT	12.6338253	16.36885834	19.87870789	21.15439796	2.067754269	7.286953926	31.00226784	38.70584488	49.98721313	0	14.1711216	0	27.47242165	26.0748539	40.53674316	20.69036102	38.39304733	25.30797005	0	10.2034502	8.060929298	0	0	0
ABCB7	19.19357681	13.54399967	21.97021103	11.57843208	11.7902174	11.19051933	25.38542938	36.45207977	42.65619278	7.190798283	17.57999992	3.973642349	60.3740654	49.97846603	69.77548981	83.5630722	122.9393463	47.53285217	7.382229805	11.25350571	7.717496872	15.25818253	4.926193714	6.623755932
SRGAP2	92.73427582	73.91816711	114.345726	6.010046482	10.7313776	7.507568359	55.92395782	53.75001526	65.38685608	0	3.912705898	0	66.7462616	53.77861023	192.0599365	6.793264389	36.1223526	6.410599709	13.29090309	15.10135841	15.46372986	1.351216316	0	2.297424793
IGSF3	9.074498177	5.447158813	0	2.472761393	4.161269665	0	7.042333603	3.43769145	12.23439693	0	0	0	0	5.74003458	0	0	2.019521713	0	0	0	0	0	0	0
ADAM23	506.3365479	175.3023376	305.6480713	207.7175598	377.3822327	305.842041	365.2296448	351.7026367	409.2750854	40.96605682	42.22650146	56.94369125	203.960022	279.3009644	241.0502625	112.3956375	233.5140991	62.04771042	45.72450256	39.43732834	57.24429321	19.46707344	82.55374908	24.72478676
