Bait,Prey,log_fold_change,snr,mean_diff,median_diff,replicate_fold_change_sd,bait_cv,bait_control_sd_ratio,zero_or_neg_fc,composite_score,global_cv
ACTB,IGHG1,4.496816645733321,90.11112112907686,9101.343555555555,0.0,720.8889690326148,1.414213562373095,254.8727392427705,1,1.1316272137821686,4.614419940435145
ACTB,IGKV3D-15,4.483323022972576,88.44115843438973,8932.343555555555,0.0,707.5292674751179,1.4142135623730951,250.14937145980323,1,1.1164694069631445,4.795831523312719
ACTB,EYA2,4.472654281405048,87.14273773568034,8800.943555555556,0.0,697.1419018854426,1.4142135623730947,246.4768831362416,1,1.1046708161199557,4.795831523312719
ACTB,AFAP1,3.5767474693343204,8.344029304459344,159604.0888888889,169083.0,1.4988386273772856,0.12561658015664484,1.048148425953011,1,1.1031511182185088,1.7001260827427223
ACTB,NRCAM,7.41012822025584,60.134796687639806,3024.926888888889,3904.18,123.98497345018936,0.7289507932258703,43.83530774593147,1,1.093889529460063,3.3542441878248823
ACTB,ZNF560,4.451640337350172,84.64075812446862,8547.743555555555,0.0,677.126064995749,1.4142135623730954,239.40021613832855,1,1.0819017521993068,4.025362672574242
ACTB,LMO7,2.7907518342419615,5.068811880713546,168787.14333333334,185880.93,1.3310605137622689,0.19235275689714343,0.974999939448245,1,1.0738746687012413,1.3273958525041176
ACTB,CTSG,4.427947805151725,81.90590600336661,8270.976888888888,0.0,655.2472480269328,1.414213562373095,231.6648862168339,1,1.0569597448457138,4.795831523312718
ACTB,CEP41,7.315394165049845,56.31292072334124,2831.540222222222,3970.14,113.47728084571854,0.7124524333485588,40.12027739830895,1,1.0550747232729998,1.9644331081168542
ACTB,ZNF333,4.4210251291508875,81.1236256483603,8191.8102222222215,0.0,648.9890051868824,1.4142135623730951,229.45226324157804,1,1.0498144808946541,3.3745008071776827
ACTB,TUBB4B,0.9676740043982165,2.313337751092153,177170.8333333333,240803.0,0.3445357043218573,0.17617227147978082,0.4075459663098324,1,1.0439567084933978,0.6183498345951908
ACTB,NKD2,4.405150197448918,79.35781302385978,8013.110222222223,0.0,634.8625041908782,1.4142135623730951,224.4577909172215,1,1.0336672636273572,4.79583152331272
ACTB,GDF5-AS1,4.4001599205712525,78.81071084715855,7957.743555555557,0.0,630.4856867772684,1.414213562373095,222.910352280632,1,1.0286590358323573,4.79583152331272
ACTB,GAD1,4.396527001483773,78.41479464222482,7917.676888888889,0.0,627.3183571377986,1.4142135623730951,221.7905321474709,1,1.0250331703908675,4.795831523312719
ACTB,NOTCH4,4.3964815497686915,78.4098539241932,7917.176888888889,0.0,627.2788313935456,1.4142135623730951,221.77655768657456,1,1.024987913881712,3.5185133027451214
ACTB,VPS26B,4.392299883865922,77.95662539009271,7871.310222222222,0.0,623.6530031207417,1.414213562373095,220.49463380701573,1,1.0208354747127173,4.795831523312718
ACTB,SUOX,4.392147476416394,77.94015632998732,7869.643555555555,0.0,623.5212506398985,1.414213562373095,220.44805227069455,1,1.0206845526726875,4.370601144477396
ACTB,FKRP,7.208039450030322,52.274641309257795,2627.2035555555553,3245.12,109.62652826407549,0.7414461351812106,38.758830766733254,1,1.0119763969277489,3.3760833773769914
ACTB,ENDOD1,4.377467039536846,76.3699961395389,7710.743555555557,0.0,610.9599691163112,1.414213562373095,216.00696859783363,1,1.0062845052233595,4.79583152331272
ACTB,PPP1R12A,2.2571430750326584,3.519854529816211,157340.30333333334,191902.88,0.18285763309878206,0.03825130288880151,0.13463902174451992,1,1.0040870116627398,1.1056998877842918
ACTB,EPX,4.366807656973115,75.24977067116987,7597.376888888889,0.0,601.998165369359,1.414213562373095,212.83849249726717,1,0.9959970423130683,4.79583152331272
ACTB,NEXN,2.601274900112628,4.305221185515706,154356.82,175097.0,0.5027058702092515,0.08284244352764167,0.35665504293509137,1,0.9958210020393002,1.4837439572853974
ACTB,MUC5AC,4.363605207016533,74.91643689463666,7563.643555555555,0.0,599.3314951570933,1.414213562373095,211.89568220212655,1,0.9929336319833176,4.79583152331272
ACTB,UBE2N,7.156595988289816,50.443479454259055,2534.5468888888886,1282.03,153.90696551499823,1.0787187974035635,54.41432949374968,1,0.9890477264578174,3.1655596635734
ACTB,SLC25A5,0.6423608953170727,1.4678299848231509,137430.19999999998,279303.8,0.22367967145718934,0.14330435904727507,0.21034643516545315,1,0.9866494540041056,1.0604852226037784
ACTB,TLN1,1.25708663190038,1.7696499963495045,156386.07888888888,229680.76,0.5507396406152147,0.23042381914347113,0.4077695107060826,1,0.9864728860413677,1.044720441969765
ACTB,MPO,4.355061503386792,74.03435403539167,7474.376888888889,0.0,592.2748322831333,1.4142135623730951,209.40077511676438,1,0.9848219524521921,4.79583152331272
ACTB,TMCO1,4.348095896317935,73.32289063883857,7402.376888888889,0.0,586.5831251107087,1.414213562373095,207.3884527476895,1,0.978273762490692,4.79583152331272
ACTB,AGR2;AGR3,4.341288116011755,72.63415454523093,7332.676888888889,0.0,581.0732363618474,1.4142135623730951,205.44041289873795,1,0.9719299438998715,4.795831523312719
ACTB,WASL,3.4621171025822064,8.014343821868044,129049.43777777778,144974.0,0.44891544816771317,0.04073463679995967,0.32646138477379544,1,0.9672734833804424,1.3785029822928683
ACTB,ECT2L,4.333952978622227,71.89930508332817,7258.310222222222,0.0,575.1944406666253,1.414213562373095,203.361944748087,1,0.9651560666085803,3.704846152511405
ACTB,MPRIP,2.4702506776077073,4.101321562468475,147475.92888888888,174023.92,1.4785325403991596,0.2668161542181274,1.0942988465097196,1,0.964814598931011,1.3705884805915831
ACTB,LCP1,4.327913396864583,71.29983129549176,7197.643555555555,0.0,570.398650363934,1.414213562373095,201.66637682599617,1,0.9596259465408974,4.795831523312719
