Protein	BirA_1	BirA_2	BirA_3	BirA_4	PSMC2_1	PSMC2_2	PSMC2_3	PSMC2_4	PSMA4_1	PSMA4_2	PSMA4_3	PSMA4_4
Q9BQ39	249321.5	242775.5938	271577.0938	261347.1563	215062.0938	221654.0625	221516.125	172673.5156	112116.6563	175616.5625	169707.7813	121244.4922
Q9BQ52	90095.67188	136405.5469	104921.9688	98001.19531	89039.75781	82695.46094	91000.5625	109423.2344	61388.73047	88790.54688	104875.9375	102690.0156
Q9BQ61	399720.8438	333613.125	353323.5938	390958.8438	279735.6875	202194.125	240102.4688	207274.3438	611452.4375	1737219.5	1625531.25	987723.75
Q9BQ67	181323.9844	366840.5	214365.8438	179809.9219	178874.8906	172671.4375	173319.4063	187403.2656	143527.2344	140141.9375	169141.7031	132849.7969
Q9BQ75	90447.71875	84875.78906	115020.4922	136789.9688	38860.37109	399209.5313	89059.76563	32050.99414	68597.03125	97153.00781	129754.9922	101348.3516
Q9BQA1	471963.1563	586660.125	541897.5625	514184.0625	586168.625	438423.6875	504698.875	691265.4375	479681.1563	681408.3125	678999	512770.0625
Q9BQC3	29672.94336	25720.48047	31246.94922	17803.17578	35292.5625	43469.42188	43609.23828	35476.94922	27628.74023	27397.89453	20612.61914	23478.06836
Q9BQC6	26350.48047	44720.93359	30855.74805	25787.45313	68542.72656	26672.81055	11524.64648	15465.19629	28808.63672	22756.07813	18261.58594	23963.52734
Q9BQE3	1009153.875	263775.1563	80248.14063	824366	2884.760498	1329214.375	2075.759277	86563.71094	26406.85547	178632.2813	251816.0469	48750.0625
Q9BQF6	15928.44336	15727.2207	17750.20703	21415.16602	17825.82813	19740.49414	19374.42383	13359.06445	12185.93457	18513.34375	19739.74219	15860.66992
Q9BQG0	115758.9844	141045.9688	236197.3594	137849.5313	86027.16406	103230.9375	75174.14844	113331.7891	97372.96875	211831.0156	233633.9688	156905.4063
Q9BQI0	82111.34375	107062.5	139218.1719	134356.7813	133572.0781	115511.2891	125816.3203	110721.7969	265572.5625	237874.3281	189268.7969	244724.4688
Q9BQI3	10790.35254	2513.601563	6496.182617	5010.007813	20455.46484	16724.23242	14105.08301	7603.592285	6360.016113	5788.20752	6180.756836	6802.510742
Q9BQK8	9681.412109	10539.63184	11016.94824	8221.699219	32153.88672	29212.66211	38765.36719	33268.97266	26398.36914	14951.83105	16316.81934	14570.3125
Q9BQP7	79104.09375	118030.4531	100433.5	80589.47656	61230.89063	50869.22656	53850.66016	50530.85156	76872.67188	47677.86719	75611.28125	57907.69531
