Bait	PreyGene	#Rep	#Pep	AvgP	BFDR
MAPRE3	STK10	3	2	0.0027	0.5273
ACTB	STK11IP	3	3	0.1015	0.4490
KRT8	STK11IP	3	3	0.2821	0.3283
ACTB	STK24	3	1	0.2150	0.3675
KRT8	STK24	3	1	0.4809	0.2121
ACTB	STK26	3	6	0.8630	0.0571
CTNNA1	STK26	3	6	0.1860	0.3872
KRT8	STK26	3	6	0.8653	0.0565
LMNA	STK26	3	6	0.1847	0.3882
MAPRE3	STK26	3	6	0.7732	0.0852
ACTB	STK3	3	11	0.7306	0.0994
KRT8	STK3	3	11	0.9045	0.0448
MAPRE3	STK3	3	11	0.2536	0.3442
KRT8	STK36	3	2	0.1003	0.4500
ACTB	STK38	3	12	0.9526	0.0296
CTNNA1	STK38	3	12	0.4343	0.2357
KRT8	STK38	3	12	0.9690	0.0201
LMNA	STK38	3	12	0.9280	0.0380
MAPRE3	STK38	3	12	0.8535	0.0599
ACTB	STK38L	3	4	0.4948	0.2042
KRT8	STK38L	3	4	0.8847	0.0508
LMNA	STK38L	3	4	0.0986	0.4514
MAPRE3	STK38L	3	4	0.1382	0.4207
ACTB	STK39	3	1	0.3229	0.3011
LMNA	STK39	3	1	0.3185	0.3041
MAPRE3	STK39	3	1	0.2357	0.3546
ACTB	STK4	3	3	0.3311	0.2959
KRT8	STK4	3	3	0.6439	0.1349
ACTB	STMN1	3	4	0.9078	0.0437
CTNNA1	STMN1	3	4	0.2446	0.3498
KRT8	STMN1	3	4	0.8092	0.0738
LMNA	STMN1	3	4	0.3647	0.2730
MAPRE3	STMN1	3	4	0.5766	0.1658
ACTB	STOM	3	4	0.5285	0.1871
KRT8	STOM	3	4	0.7452	0.0940
LMNA	STOM	3	4	0.9059	0.0443
MAPRE3	STOM	3	4	0.0981	0.4517
ACTB	STOML2	3	3	0.1102	0.4401
KRT8	STOML2	3	3	0.4355	0.2352
LMNA	STOML2	3	3	0.0459	0.4923
ACTB	STON2	3	2	0.1463	0.4156
KRT8	STON2	3	2	0.4055	0.2515
ACTB	STRAP	3	16	0.9177	0.0407
CTNNA1	STRAP	3	16	0.4797	0.2126
KRT8	STRAP	3	16	0.9449	0.0326
LMNA	STRAP	3	16	0.6909	0.1136
MAPRE3	STRAP	3	16	0.4837	0.2106
ACTB	STRBP	3	10	0.2396	0.3527
CTNNA1	STRBP	3	10	0.0539	0.4866
LMNA	STRBP	3	10	0.7528	0.0916
MAPRE3	STRBP	3	10	0.5469	0.1780
ACTB	STRIP1	3	15	0.7276	0.1001
CTNNA1	STRIP1	3	15	0.1464	0.4155
KRT8	STRIP1	3	15	0.8995	0.0464
LMNA	STRIP1	3	15	0.3302	0.2965
MAPRE3	STRIP1	3	15	0.2490	0.3471
ACTB	STRIP2	3	3	0.2656	0.3375
KRT8	STRIP2	3	3	0.1920	0.3831
ACTB	STRN	3	19	0.9420	0.0335
CTNNA1	STRN	3	19	0.0883	0.4594
KRT8	STRN	3	19	0.9459	0.0322
LMNA	STRN	3	19	0.0889	0.4587
MAPRE3	STRN	3	19	0.2376	0.3536
ACTB	STRN3	3	11	0.8389	0.0642
KRT8	STRN3	3	11	0.8992	0.0465
MAPRE3	STRN3	3	11	0.1332	0.4240
ACTB	STRN4	3	14	0.9670	0.0216
CTNNA1	STRN4	3	14	0.3475	0.2812
KRT8	STRN4	3	14	0.9701	0.0193
LMNA	STRN4	3	14	0.3476	0.2811
MAPRE3	STRN4	3	14	0.4965	0.2031
ACTB	STT3A	3	6	0.9481	0.0315
CTNNA1	STT3A	3	6	0.0671	0.4765
KRT8	STT3A	3	6	0.9678	0.0209
LMNA	STT3A	3	6	0.9437	0.0329
MAPRE3	STT3A	3	6	0.6968	0.1110
ACTB	STT3B	3	7	0.8516	0.0604
CTNNA1	STT3B	3	7	0.3472	0.2813
KRT8	STT3B	3	7	0.9326	0.0364
LMNA	STT3B	3	7	0.9771	0.0131
MAPRE3	STT3B	3	7	0.5127	0.1946
ACTB	STUB1	3	5	0.5369	0.1833
CTNNA1	STUB1	3	5	0.0474	0.4911
KRT8	STUB1	3	5	0.8441	0.0630
LMNA	STUB1	3	5	0.7162	0.1038
MAPRE3	STUB1	3	5	0.3255	0.2995
KRT8	STX10	3	2	0.1207	0.4325
LMNA	STX10	3	2	0.1742	0.3943
ACTB	STX5	3	8	0.8040	0.0755
CTNNA1	STX5	3	8	0.1734	0.3950
KRT8	STX5	3	8	0.8676	0.0557
LMNA	STX5	3	8	0.9746	0.0154
MAPRE3	STX5	3	8	0.3060	0.3134
LMNA	STX6	3	1	0.1305	0.4258
ACTB	STXBP1	3	7	0.2265	0.3599
KRT8	STXBP1	3	7	0.7339	0.0979
LMNA	STXBP1	3	7	0.2835	0.3276
MAPRE3	STXBP1	3	7	0.0606	0.4817
ACTB	STXBP2	3	3	0.1488	0.4139
KRT8	STXBP2	3	3	0.3011	0.3166
LMNA	STXBP2	3	3	0.0102	0.5198
ACTB	STXBP3	3	9	0.6178	0.1464
CTNNA1	STXBP3	3	9	0.1863	0.3869
KRT8	STXBP3	3	9	0.7366	0.0972
LMNA	STXBP3	3	9	0.4224	0.2426
MAPRE3	STXBP3	3	9	0.0798	0.4668
ACTB	STXBP4	3	12	0.9271	0.0381
CTNNA1	STXBP4	3	12	0.4854	0.2096
KRT8	STXBP4	3	12	0.9697	0.0196
LMNA	STXBP4	3	12	0.4903	0.2069
MAPRE3	STXBP4	3	12	0.5889	0.1604
ACTB	STXBP5	3	16	0.9098	0.0430
CTNNA1	STXBP5	3	16	0.0618	0.4807
KRT8	STXBP5	3	16	0.8474	0.0620
LMNA	STXBP5	3	16	0.5666	0.1699
MAPRE3	STXBP5	3	16	0.4354	0.2353
ACTB	SUB1	3	5	0.9035	0.0450
CTNNA1	SUB1	3	5	0.5953	0.1570
KRT8	SUB1	3	5	0.8962	0.0472
LMNA	SUB1	3	5	0.9636	0.0239
MAPRE3	SUB1	3	5	0.8247	0.0687
KRT8	SUCLA2	3	2	0.9225	0.0394
LMNA	SUCLA2	3	2	0.4208	0.2435
MAPRE3	SUCLA2	3	2	0.0648	0.4782
KRT8	SUCLG1	3	2	0.1665	0.4010
LMNA	SUCLG1	3	2	0.3270	0.2986
ACTB	SUCLG2	3	9	0.3920	0.2579
CTNNA1	SUCLG2	3	9	0.3518	0.2788
KRT8	SUCLG2	3	9	0.3595	0.2755
LMNA	SUCLG2	3	9	0.4296	0.2381
MAPRE3	SUCLG2	3	9	0.0944	0.4543
ACTB	SUDS3	3	2	0.0154	0.5155
LMNA	SUDS3	3	2	0.3218	0.3020
KRT8	SUFU	3	1	0.2154	0.3672
ACTB	SUGP1	3	24	0.1625	0.4042
KRT8	SUGP1	3	24	0.2374	0.3537
LMNA	SUGP1	3	24	0.9273	0.0381
MAPRE3	SUGP1	3	24	0.1458	0.4160
ACTB	SUGP2	3	38	0.9030	0.0452
CTNNA1	SUGP2	3	38	0.2965	0.3197
KRT8	SUGP2	3	38	0.7717	0.0858
LMNA	SUGP2	3	38	0.9638	0.0238
MAPRE3	SUGP2	3	38	0.8962	0.0472
ACTB	SUGT1	3	11	0.7302	0.0995
CTNNA1	SUGT1	3	11	0.2509	0.3457
KRT8	SUGT1	3	11	0.9529	0.0295
LMNA	SUGT1	3	11	0.8816	0.0516
MAPRE3	SUGT1	3	11	0.2159	0.3669
ACTB	SUMF1	3	2	0.2567	0.3424
CTNNA1	SUMF1	3	2	0.1543	0.4104
KRT8	SUMF1	3	2	0.2023	0.3765
LMNA	SUMF1	3	2	0.1495	0.4134
MAPRE3	SUMF1	3	2	0.1583	0.4072
ACTB	SUMO1	3	2	0.3025	0.3157
CTNNA1	SUMO1	3	2	0.0026	0.5275
KRT8	SUMO1	3	2	0.3185	0.3041
LMNA	SUMO1	3	2	0.1887	0.3856
MAPRE3	SUMO1	3	2	0.0151	0.5157
ACTB	SUMO2;SUMO3;SUMO4	3	1	0.9394	0.0343
CTNNA1	SUMO2;SUMO3;SUMO4	3	1	0.7664	0.0876
KRT8	SUMO2;SUMO3;SUMO4	3	1	0.9546	0.0287
LMNA	SUMO2;SUMO3;SUMO4	3	1	0.9393	0.0344
MAPRE3	SUMO2;SUMO3;SUMO4	3	1	0.9028	0.0452
ACTB	SUN1	3	29	0.1556	0.4093
CTNNA1	SUN1	3	29	0.0299	0.5043
KRT8	SUN1	3	29	0.3935	0.2571
LMNA	SUN1	3	29	0.9986	0.0001
MAPRE3	SUN1	3	29	0.0473	0.4912
KRT8	SUN2	3	29	0.0327	0.5023
LMNA	SUN2	3	29	0.9919	0.0018
ACTB	SUPT16H	3	22	0.8328	0.0663
CTNNA1	SUPT16H	3	22	0.4479	0.2287
KRT8	SUPT16H	3	22	0.9089	0.0433
LMNA	SUPT16H	3	22	0.9685	0.0205
MAPRE3	SUPT16H	3	22	0.6467	0.1335
LMNA	SUPT20H	3	4	0.4112	0.2490
LMNA	SUPT3H	3	2	0.0090	0.5209
ACTB	SUPT5H	3	25	0.0952	0.4535
KRT8	SUPT5H	3	25	0.2273	0.3595
LMNA	SUPT5H	3	25	0.9736	0.0164
MAPRE3	SUPT5H	3	25	0.0391	0.4980
LMNA	SUPT6H	3	25	0.9503	0.0306
KRT8	SUPV3L1	3	5	1.0000	0.0000
ACTB	SURF2	3	1	0.3088	0.3114
LMNA	SURF2	3	1	0.6311	0.1405
ACTB	SURF4	3	8	0.9545	0.0287
CTNNA1	SURF4	3	8	0.4449	0.2302
KRT8	SURF4	3	8	0.9809	0.0095
LMNA	SURF4	3	8	0.9749	0.0151
MAPRE3	SURF4	3	8	0.7986	0.0773
LMNA	SUZ12	3	6	0.7412	0.0957
ACTB	SVIL	3	63	0.9925	0.0014
CTNNA1	SVIL	3	63	0.1326	0.4243
KRT8	SVIL	3	63	0.8899	0.0491
LMNA	SVIL	3	63	0.0872	0.4605
MAPRE3	SVIL	3	63	0.4751	0.2152
ACTB	SWAP70	3	15	0.9663	0.0222
CTNNA1	SWAP70	3	15	0.3303	0.2965
KRT8	SWAP70	3	15	0.9618	0.0250
LMNA	SWAP70	3	15	0.4904	0.2068
MAPRE3	SWAP70	3	15	0.6321	0.1401
ACTB	SYAP1	3	22	0.9656	0.0227
CTNNA1	SYAP1	3	22	0.4657	0.2196
KRT8	SYAP1	3	22	0.9683	0.0206
LMNA	SYAP1	3	22	0.1500	0.4131
MAPRE3	SYAP1	3	22	0.8684	0.0556
MAPRE3	SYBU	3	5	1.0000	0.0000
ACTB	SYDE1	3	7	0.5772	0.1656
CTNNA1	SYDE1	3	7	0.0054	0.5244
KRT8	SYDE1	3	7	0.8802	0.0521
LMNA	SYDE1	3	7	0.0016	0.5292
MAPRE3	SYDE1	3	7	0.5126	0.1946
KRT8	SYF2	3	4	0.0369	0.4994
LMNA	SYF2	3	4	0.8813	0.0517
ACTB	SYMPK	3	56	0.9445	0.0327
CTNNA1	SYMPK	3	56	0.2229	0.3620
KRT8	SYMPK	3	56	0.6943	0.1123
LMNA	SYMPK	3	56	0.9671	0.0215
MAPRE3	SYMPK	3	56	0.8092	0.0738
ACTB	SYNC	3	7	0.1184	0.4341
KRT8	SYNC	3	7	0.6696	0.1220
MAPRE3	SYNC	3	7	0.0202	0.5117
ACTB	SYNCRIP	3	21	0.8583	0.0587
CTNNA1	SYNCRIP	3	21	0.1814	0.3902
KRT8	SYNCRIP	3	21	0.8016	0.0762
LMNA	SYNCRIP	3	21	0.7381	0.0969
MAPRE3	SYNCRIP	3	21	0.5631	0.1711
ACTB	SYNE1	3	42	0.0815	0.4655
CTNNA1	SYNE1	3	42	0.0156	0.5154
KRT8	SYNE1	3	42	0.2243	0.3613
LMNA	SYNE1	3	42	0.8456	0.0625
ACTB	SYNE2	3	110	0.5910	0.1593
CTNNA1	SYNE2	3	110	0.0044	0.5255
KRT8	SYNE2	3	110	0.4307	0.2374
LMNA	SYNE2	3	110	0.9765	0.0136
MAPRE3	SYNE2	3	110	0.0850	0.4625
LMNA	SYNE3	3	2	0.3332	0.2932
ACTB	SYNJ1	3	15	0.7076	0.1069
KRT8	SYNJ1	3	15	0.8674	0.0558
LMNA	SYNJ1	3	15	0.0011	0.5301
MAPRE3	SYNJ1	3	15	0.0634	0.4793
ACTB	SYNJ2	3	54	0.9718	0.0181
CTNNA1	SYNJ2	3	54	0.9170	0.0410
KRT8	SYNJ2	3	54	0.9720	0.0179
LMNA	SYNJ2	3	54	0.7691	0.0866
MAPRE3	SYNJ2	3	54	0.9694	0.0199
ACTB	SYNM	3	57	0.9456	0.0323
CTNNA1	SYNM	3	57	0.3852	0.2615
KRT8	SYNM	3	57	0.9806	0.0099
LMNA	SYNM	3	57	0.1196	0.4331
MAPRE3	SYNM	3	57	0.6924	0.1131
ACTB	SYNPO	3	29	0.9839	0.0064
CTNNA1	SYNPO	3	29	0.2470	0.3483
KRT8	SYNPO	3	29	0.9255	0.0386
LMNA	SYNPO	3	29	0.2500	0.3463
MAPRE3	SYNPO	3	29	0.4516	0.2271
ACTB	SYNPO2	3	11	0.7128	0.1048
KRT8	SYNPO2	3	11	0.0161	0.5149
LMNA	SYNPO2	3	11	0.0287	0.5053
ACTB	SYNRG	3	44	0.9722	0.0177
CTNNA1	SYNRG	3	44	0.9320	0.0366
KRT8	SYNRG	3	44	0.9753	0.0148
LMNA	SYNRG	3	44	0.7032	0.1084
MAPRE3	SYNRG	3	44	0.9624	0.0246
KRT8	SYT10	3	1	0.2998	0.3173
ACTB	SYTL4	3	21	0.9660	0.0224
CTNNA1	SYTL4	3	21	0.9415	0.0337
KRT8	SYTL4	3	21	0.9669	0.0217
LMNA	SYTL4	3	21	0.6778	0.1190
MAPRE3	SYTL4	3	21	0.9092	0.0432
ACTB	SZT2	3	8	0.0141	0.5164
KRT8	SZT2	3	8	0.3793	0.2650
MAPRE3	SZT2	3	8	0.0826	0.4647
ACTB	TAB1	3	13	0.9708	0.0188
CTNNA1	TAB1	3	13	0.1222	0.4316
KRT8	TAB1	3	13	0.9728	0.0172
LMNA	TAB1	3	13	0.2638	0.3382
MAPRE3	TAB1	3	13	0.6098	0.1504
ACTB	TAB2	3	9	0.3611	0.2745
KRT8	TAB2	3	9	0.4869	0.2086
MAPRE3	TAB2	3	9	0.0063	0.5236
ACTB	TAB3	3	5	0.8124	0.0724
KRT8	TAB3	3	5	0.9455	0.0324
MAPRE3	TAB3	3	5	0.5112	0.1953
ACTB	TACC1	3	18	0.9283	0.0378
CTNNA1	TACC1	3	18	0.5803	0.1640
KRT8	TACC1	3	18	0.9426	0.0333
LMNA	TACC1	3	18	0.5410	0.1807
MAPRE3	TACC1	3	18	0.9618	0.0250
ACTB	TACC2	3	22	0.9358	0.0354
CTNNA1	TACC2	3	22	0.4275	0.2396
KRT8	TACC2	3	22	0.9557	0.0281
LMNA	TACC2	3	22	0.4310	0.2372
MAPRE3	TACC2	3	22	0.9569	0.0277
ACTB	TACC3	3	17	0.8228	0.0694
CTNNA1	TACC3	3	17	0.1892	0.3853
KRT8	TACC3	3	17	0.9060	0.0442
LMNA	TACC3	3	17	0.0200	0.5120
MAPRE3	TACC3	3	17	0.9158	0.0413
LMNA	TADA1	3	1	0.0010	0.5304
ACTB	TADA3	3	7	0.7336	0.0981
KRT8	TADA3	3	7	0.9576	0.0274
LMNA	TADA3	3	7	0.9055	0.0444
MAPRE3	TADA3	3	7	0.4373	0.2344
KRT8	TAF1	3	14	0.0432	0.4945
LMNA	TAF1	3	14	0.2952	0.3205
MAPRE3	TAF1	3	14	0.0301	0.5043
LMNA	TAF15	3	2	0.1283	0.4272
ACTB	TAF1B	3	4	0.1073	0.4430
KRT8	TAF1B	3	4	0.5020	0.1996
LMNA	TAF1B	3	4	0.0360	0.4999
ACTB	TAF1C	3	2	0.1422	0.4183
KRT8	TAF1C	3	2	0.1387	0.4204
LMNA	TAF1C	3	2	0.0422	0.4953
ACTB	TAF2	3	5	0.0139	0.5166
KRT8	TAF2	3	5	0.0995	0.4506
LMNA	TAF2	3	5	0.2072	0.3733
LMNA	TAF3	3	4	0.2089	0.3719
ACTB	TAF4	3	11	0.1231	0.4309
KRT8	TAF4	3	11	0.1862	0.3870
LMNA	TAF4	3	11	0.5947	0.1573
MAPRE3	TAF4	3	11	0.0589	0.4829
LMNA	TAF5L	3	1	0.0328	0.5021
ACTB	TAF6	3	16	0.0581	0.4836
KRT8	TAF6	3	16	0.0318	0.5029
LMNA	TAF6	3	16	0.7741	0.0850
MAPRE3	TAF6	3	16	0.0395	0.4978
ACTB	TAF6L	3	3	0.0267	0.5067
KRT8	TAF6L	3	3	0.0674	0.4761
LMNA	TAF6L	3	3	0.4298	0.2379
MAPRE3	TAF6L	3	3	0.0001	0.5332
ACTB	TAF7	3	13	0.9385	0.0346
CTNNA1	TAF7	3	13	0.2428	0.3509
KRT8	TAF7	3	13	0.9340	0.0360
LMNA	TAF7	3	13	0.8997	0.0463
MAPRE3	TAF7	3	13	0.7997	0.0769
ACTB	TAF9	3	10	0.4213	0.2433
KRT8	TAF9	3	10	0.2415	0.3516
LMNA	TAF9	3	10	0.9705	0.0190
MAPRE3	TAF9	3	10	0.4948	0.2042
LMNA	TAF9B	3	2	0.6034	0.1531
MAPRE3	TAF9B	3	2	0.3685	0.2708
ACTB	TAGLN	3	17	0.9773	0.0129
CTNNA1	TAGLN	3	17	0.7824	0.0827
KRT8	TAGLN	3	17	0.9755	0.0146
LMNA	TAGLN	3	17	0.9577	0.0273
MAPRE3	TAGLN	3	17	0.9464	0.0320
ACTB	TAGLN2	3	16	0.9780	0.0120
CTNNA1	TAGLN2	3	16	0.7353	0.0976
KRT8	TAGLN2	3	16	0.9643	0.0234
LMNA	TAGLN2	3	16	0.9334	0.0362
MAPRE3	TAGLN2	3	16	0.9177	0.0407
ACTB	TAGLN3	3	1	0.9046	0.0447
CTNNA1	TAGLN3	3	1	0.0405	0.4969
KRT8	TAGLN3	3	1	0.7609	0.0893
LMNA	TAGLN3	3	1	0.4582	0.2235
MAPRE3	TAGLN3	3	1	0.0769	0.4694
ACTB	TALDO1	3	3	0.5510	0.1766
CTNNA1	TALDO1	3	3	0.0832	0.4640
KRT8	TALDO1	3	3	0.4391	0.2334
LMNA	TALDO1	3	3	0.6148	0.1480
MAPRE3	TALDO1	3	3	0.1102	0.4401
ACTB	TAMM41	3	2	0.1693	0.3982
KRT8	TAMM41	3	2	0.2502	0.3462
LMNA	TAMM41	3	2	0.0232	0.5092
MAPRE3	TAMM41	3	2	0.0001	0.5332
ACTB	TANC1	3	39	0.9702	0.0192
CTNNA1	TANC1	3	39	0.8864	0.0504
KRT8	TANC1	3	39	0.9739	0.0161
LMNA	TANC1	3	39	0.3068	0.3130
MAPRE3	TANC1	3	39	0.9680	0.0209
ACTB	TANC2	3	25	0.8827	0.0514
CTNNA1	TANC2	3	25	0.1603	0.4057
KRT8	TANC2	3	25	0.9839	0.0064
LMNA	TANC2	3	25	0.0678	0.4758
MAPRE3	TANC2	3	25	0.5808	0.1638
ACTB	TANGO6	3	12	0.9068	0.0440
CTNNA1	TANGO6	3	12	0.0176	0.5140
KRT8	TANGO6	3	12	0.9696	0.0197
LMNA	TANGO6	3	12	0.6185	0.1461
MAPRE3	TANGO6	3	12	0.2642	0.3380
ACTB	TANK	3	7	0.6122	0.1493
CTNNA1	TANK	3	7	0.0137	0.5168
KRT8	TANK	3	7	0.7789	0.0835
LMNA	TANK	3	7	0.0835	0.4636
MAPRE3	TANK	3	7	0.1766	0.3929
ACTB	TAOK2	3	7	0.0875	0.4603
KRT8	TAOK2	3	7	0.1409	0.4194
LMNA	TAOK2	3	7	0.1115	0.4386
MAPRE3	TAOK2	3	7	0.7449	0.0942
KRT8	TAP1	3	3	0.0022	0.5280
LMNA	TAP1	3	3	0.0946	0.4541
ACTB	TAPBP	3	2	0.1608	0.4053
CTNNA1	TAPBP	3	2	0.1741	0.3943
KRT8	TAPBP	3	2	0.3211	0.3025
LMNA	TAPBP	3	2	0.4611	0.2218
MAPRE3	TAPBP	3	2	0.2753	0.3316
KRT8	TARBP1	3	5	0.6022	0.1540
LMNA	TARBP1	3	5	0.1433	0.4176
ACTB	TARBP2	3	3	0.2130	0.3689
KRT8	TARBP2	3	3	0.1951	0.3810
LMNA	TARBP2	3	3	0.0002	0.5326
ACTB	TARDBP	3	7	0.8308	0.0670
CTNNA1	TARDBP	3	7	0.3061	0.3134
KRT8	TARDBP	3	7	0.6790	0.1184
LMNA	TARDBP	3	7	0.9082	0.0436
MAPRE3	TARDBP	3	7	0.4714	0.2171
ACTB	TARS1	3	18	0.9551	0.0284
CTNNA1	TARS1	3	18	0.5293	0.1867
KRT8	TARS1	3	18	0.9622	0.0248
LMNA	TARS1	3	18	0.7876	0.0808
MAPRE3	TARS1	3	18	0.7451	0.0940
ACTB	TARS2	3	5	0.0527	0.4874
CTNNA1	TARS2	3	5	0.0006	0.5311
KRT8	TARS2	3	5	0.0450	0.4931
LMNA	TARS2	3	5	0.0000	0.5341
ACTB	TASOR	3	35	0.6008	0.1545
CTNNA1	TASOR	3	35	0.0447	0.4933
KRT8	TASOR	3	35	0.7134	0.1045
LMNA	TASOR	3	35	0.9606	0.0257
MAPRE3	TASOR	3	35	0.4920	0.2059
ACTB	TASOR2	3	54	0.7096	0.1062
CTNNA1	TASOR2	3	54	0.0437	0.4941
KRT8	TASOR2	3	54	0.6018	0.1542
LMNA	TASOR2	3	54	0.9640	0.0236
MAPRE3	TASOR2	3	54	0.5196	0.1910
ACTB	TATDN1	3	2	0.1667	0.3994
MAPRE3	TATDN1	3	2	0.3333	0.2872
ACTB	TAX1BP3	3	1	0.0741	0.4714
KRT8	TAX1BP3	3	1	0.1121	0.4383
LMNA	TAX1BP3	3	1	0.0087	0.5213
MAPRE3	TAX1BP3	3	1	0.0001	0.5332
ACTB	TBC1D10B	3	4	0.7841	0.0821
CTNNA1	TBC1D10B	3	4	0.0024	0.5279
KRT8	TBC1D10B	3	4	0.7038	0.1081
MAPRE3	TBC1D10B	3	4	0.0516	0.4883
ACTB	TBC1D13	3	3	0.5478	0.1777
CTNNA1	TBC1D13	3	3	0.2875	0.3249
KRT8	TBC1D13	3	3	0.3913	0.2582
LMNA	TBC1D13	3	3	0.1644	0.4025
MAPRE3	TBC1D13	3	3	0.1197	0.4330
ACTB	TBC1D15	3	13	0.9624	0.0246
CTNNA1	TBC1D15	3	13	0.5160	0.1927
KRT8	TBC1D15	3	13	0.9736	0.0164
LMNA	TBC1D15	3	13	0.6445	0.1346
MAPRE3	TBC1D15	3	13	0.8405	0.0638
KRT8	TBC1D17	3	1	0.2188	0.3648
ACTB	TBC1D2	3	24	0.9687	0.0204
CTNNA1	TBC1D2	3	24	0.5814	0.1634
KRT8	TBC1D2	3	24	0.9734	0.0166
LMNA	TBC1D2	3	24	0.5547	0.1750
MAPRE3	TBC1D2	3	24	0.9524	0.0297
ACTB	TBC1D22A	3	7	0.4362	0.2348
KRT8	TBC1D22A	3	7	0.6159	0.1474
LMNA	TBC1D22A	3	7	0.0491	0.4902
MAPRE3	TBC1D22A	3	7	0.0081	0.5218
ACTB	TBC1D23	3	13	0.9572	0.0275
CTNNA1	TBC1D23	3	13	0.1311	0.4253
KRT8	TBC1D23	3	13	0.9488	0.0311
LMNA	TBC1D23	3	13	0.2771	0.3305
MAPRE3	TBC1D23	3	13	0.3695	0.2702
ACTB	TBC1D24	3	2	0.0469	0.4915
KRT8	TBC1D24	3	2	0.2163	0.3665
ACTB	TBC1D25	3	6	0.2060	0.3741
KRT8	TBC1D25	3	6	0.7659	0.0877
LMNA	TBC1D25	3	6	0.2584	0.3414
MAPRE3	TBC1D25	3	6	0.0521	0.4878
ACTB	TBC1D2B	3	20	0.9170	0.0410
CTNNA1	TBC1D2B	3	20	0.1392	0.4201
KRT8	TBC1D2B	3	20	0.9777	0.0124
LMNA	TBC1D2B	3	20	0.0295	0.5047
MAPRE3	TBC1D2B	3	20	0.5929	0.1581
ACTB	TBC1D31	3	4	0.0851	0.4623
KRT8	TBC1D31	3	4	0.8337	0.0658
MAPRE3	TBC1D31	3	4	0.1418	0.4186
ACTB	TBC1D4	3	14	0.8326	0.0664
KRT8	TBC1D4	3	14	0.9766	0.0135
LMNA	TBC1D4	3	14	0.2747	0.3321
MAPRE3	TBC1D4	3	14	0.3304	0.2964
ACTB	TBC1D5	3	22	0.9479	0.0315
CTNNA1	TBC1D5	3	22	0.1666	0.4005
KRT8	TBC1D5	3	22	0.9628	0.0244
LMNA	TBC1D5	3	22	0.1108	0.4395
MAPRE3	TBC1D5	3	22	0.8225	0.0695
ACTB	TBC1D8	3	10	0.4594	0.2228
CTNNA1	TBC1D8	3	10	0.0553	0.4856
KRT8	TBC1D8	3	10	0.7204	0.1021
LMNA	TBC1D8	3	10	0.2529	0.3447
MAPRE3	TBC1D8	3	10	0.0229	0.5095
ACTB	TBC1D9B	3	6	0.4370	0.2346
KRT8	TBC1D9B	3	6	0.8790	0.0525
LMNA	TBC1D9B	3	6	0.0653	0.4779
MAPRE3	TBC1D9B	3	6	0.0174	0.5141
ACTB	TBCB	3	1	1.0000	0.0000
KRT8	TBCC	3	2	0.4139	0.2472
LMNA	TBCC	3	2	0.2370	0.3539
MAPRE3	TBCC	3	2	0.0731	0.4721
ACTB	TBCD	3	7	0.7925	0.0792
CTNNA1	TBCD	3	7	0.0241	0.5085
KRT8	TBCD	3	7	0.8297	0.0675
LMNA	TBCD	3	7	0.3375	0.2855
MAPRE3	TBCD	3	7	0.0328	0.5021
ACTB	TBCE	3	9	0.9269	0.0382
CTNNA1	TBCE	3	9	0.3135	0.3081
KRT8	TBCE	3	9	0.6942	0.1124
LMNA	TBCE	3	9	0.2609	0.3399
MAPRE3	TBCE	3	9	0.3521	0.2786
KRT8	TBCEL	3	1	0.3745	0.2674
ACTB	TBK1	3	20	0.9619	0.0249
CTNNA1	TBK1	3	20	0.1422	0.4183
KRT8	TBK1	3	20	0.9780	0.0120
LMNA	TBK1	3	20	0.2926	0.3219
MAPRE3	TBK1	3	20	0.7809	0.0831
ACTB	TBL1XR1	3	1	0.2199	0.3638
KRT8	TBL1XR1	3	1	0.1345	0.4231
LMNA	TBL1XR1	3	1	0.1436	0.4174
ACTB	TBL2	3	5	0.1948	0.3812
KRT8	TBL2	3	5	0.2180	0.3654
LMNA	TBL2	3	5	0.1074	0.4429
ACTB	TBL3	3	12	0.5451	0.1789
CTNNA1	TBL3	3	12	0.2498	0.3464
KRT8	TBL3	3	12	0.8318	0.0666
LMNA	TBL3	3	12	0.9073	0.0438
MAPRE3	TBL3	3	12	0.1935	0.3820
KRT8	TBPL1	3	2	0.4073	0.2510
LMNA	TBPL1	3	2	0.0347	0.5008
ACTB	TBRG4	3	3	0.0575	0.4842
KRT8	TBRG4	3	3	0.3690	0.2705
LMNA	TBRG4	3	3	0.0245	0.5081
LMNA	TBX3	3	1	0.2173	0.3661
ACTB	TCAF1	3	3	0.0990	0.4512
KRT8	TCAF1	3	3	0.5125	0.1947
LMNA	TCAF1	3	3	0.1478	0.4146
MAPRE3	TCAF1	3	3	0.1657	0.4018
LMNA	TCEA1	3	5	0.9781	0.0119
MAPRE3	TCEA1	3	5	0.0307	0.5039
ACTB	TCEAL4	3	7	0.3565	0.2765
CTNNA1	TCEAL4	3	7	0.1414	0.4190
KRT8	TCEAL4	3	7	0.4123	0.2480
LMNA	TCEAL4	3	7	0.8724	0.0544
MAPRE3	TCEAL4	3	7	0.1416	0.4188
LMNA	TCEANC2	3	2	0.8331	0.0662
ACTB	TCERG1	3	19	0.3499	0.2801
CTNNA1	TCERG1	3	19	0.0639	0.4790
KRT8	TCERG1	3	19	0.1434	0.4175
LMNA	TCERG1	3	19	0.9123	0.0424
MAPRE3	TCERG1	3	19	0.3000	0.3172
