Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PDHA1	ANXA6	ANXA6	.|0.243|.	1.903	0.634	3	2.752|3.493|2.702|.|0.211|0.281	0.001	0.004	0.001	0.004	0.001	-5.530	0.582	0.867	
PDHA1	SLC3A2	SLC3A2	.|0.216|.	1.876	0.625	3	1.024|0.720|0.886|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.721	0.927	
PDHA1	SRPRA	SRPRA	.|0.211|0.238	1.279	0.426	3	1.573|2.380|1.451|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.243	0.924	
PDHA1	RPSA	RPSA	.|0.453|0.332	1.615	0.538	3	0.846|1.017|0.556|0.417|0.490|.	0.000	0.000	0.000	0.000	0.000	-13.518	0.857	0.910	
PDHA1	ACAA1	ACAA1	.|0.343|.	2.003	0.668	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.804	0.927	
PDHA1	CNP	CNP	.|0.651|0.699	2.180	0.727	3	.|0.581|0.740|.|.|.	0.001	0.001	0.001	0.001	0.001	-7.088	1.108	0.877	
PDHA1	SNRPA1	SNRPA1	.|0.297|0.392	1.519	0.506	3	.|0.895|0.552|0.280|.|.	0.000	0.000	0.000	0.000	0.000	-11.060	0.980	0.902	
PDHA1	HLA-C	HLA-C	.|0.848|0.904	2.582	0.861	3	.|.|.|.|0.270|0.856	0.024	0.042	0.024	0.042	0.024	-3.603	1.792	0.762	
PDHA1	ARAF	ARAF	.|0.245|0.508	1.584	0.528	3	1.283|1.004|1.136|0.230|0.321|0.192	0.005	0.012	0.005	0.012	0.005	-6.460	1.007	0.839	
PDHA1	SLC2A1	SLC2A1	.|0.347|0.392	1.569	0.523	3	0.464|0.392|0.233|.|.|.	0.000	0.001	0.000	0.001	0.000	-7.852	1.500	0.883	
PDHA1	UMPS	UMPS	.|0.173|.	1.833	0.611	3	0.372|0.538|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-13.629	1.367	0.919	
PDHA1	TPR	TPR	.|0.111|.	1.771	0.590	3	2.534|2.227|2.374|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.249	0.927	
PDHA1	SRC	SRC	.|0.428|0.471	1.729	0.576	3	0.455|0.587|.|0.233|0.799|0.488	0.000	0.000	0.000	0.000	0.000	-10.979	1.213	0.907	
