Protein	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	HEK293_1	HEK293_2	HEK293_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
YARS2	92167.77	36820.688	0	25068.043	54546.992	0	0	0	0	264343.3	531700.44	554044	162720.86	23205.715	155259.98
COQ6	0	0	0	0	0	0	6147.81	5324.1123	5940.766	5335.5166	0	0	16669.176	0	0
ACOT9	131432.22	127129.43	48500.625	102866.14	53215.246	43717.953	0	4722.948	0	678511.7	1222131.1	1079738.6	240623.11	231193.73	304678.84
AAR2	254589.9	345332.88	389513.2	182689.84	179320	176783.42	0	0	0	32049.99	79965.01	73357.7	337563.6	239626.95	235140.69
NOSIP	77406.91	108550.98	166794.28	30534.705	95052.1	33234.492	11569.857	35399.008	35436.55	18965.277	38715.797	0	15029.83	30115.361	32764.414
MEMO1	0	35436.664	0	17993.162	39921.266	0	0	8560.33	0	6607.4307	0	10038.244	48326.617	9071.969	29810.2
SNX24	11503.999	0	0	0	0	0	0	0	0	0	0	0	13961.173	0	0
SH3GLB1	33818.2	62961	63823.96	206311.28	223867.16	158285.08	24014.842	38521.188	23827.326	16704.299	57157.465	63160.492	178333.84	274134.84	252804.45
NDUFAF1	0	0	0	40525.402	39483.477	45474.375	0	0	0	340139.66	796812.2	1125334.2	123677.65	69501.86	24247.477
LUC7L2	250365.78	229289.58	208299.02	163754.95	175032.86	107029.5	79155.28	98254.625	270136.22	162625.97	256331.72	298920.34	242253.69	283832.7	242405.3
UBE2J1	0	0	0	46433.066	40829.895	43872.18	0	0	0	0	0	0	0	0	0
DHRS7	0	0	0	43204.13	67300.33	99873.266	0	0	0	0	0	0	44869.02	31878.113	70883.91
MRPS2	0	0	0	0	0	0	0	0	0	8671.441	17017.52	15952.574	16108.791	0	16573.736
UTP11	32727.854	0	46015.383	0	0	0	0	0	0	0	0	0	39863.742	0	0
RRP7A	63438.523	35349.848	62611.77	97795.94	111429.04	131465.84	0	0	0	0	0	20655.281	85859.8	124496.195	97794.09
SBDS	110027.125	202040.64	211494.55	74672.61	66200.74	53848.938	0	10127.006	0	0	15928.434	17808.145	137320.72	78585.27	119138.03
EXOSC1	0	18550.648	0	31812.373	33172.19	28865.236	4898.35	0	0	11459.549	0	38809.71	23359.387	0	0
SF3B6	0	0	72278.06	19517.072	0	0	0	0	0	0	5794.783	0	0	21951.232	0
MRPL11	0	0	0	0	0	0	0	0	0	0	0	35980.45	0	0	0
RRP15	0	5531.4707	0	17628.773	0	0	0	0	0	0	0	35096.195	0	0	0
NOP16	30596.697	32310.826	28231.697	0	0	0	0	0	0	0	0	35285.477	62750.414	0	42189.72
RNF11	0	0	0	0	0	0	0	0	0	0	0	0	46394.344	0	0
PPIL1	131199.83	156145.34	83179.195	189804.86	271920.72	149608.11	65387.42	109812.13	70943	110363.875	104878.125	125029.51	277425.38	196785.45	304273.16
MED31	0	6995.2935	0	0	0	0	0	0	0	0	0	0	0	0	0
UFC1	123346.305	157001.73	149666.08	108241.234	159101.92	93500.875	122739.06	195717.5	163533.5	36963.117	40011.516	63308.31	256757.78	114819.14	254142.28
MSRB2	33158.63	69597.14	84440.59	56919.133	63127.836	29466.863	58536.78	128407.26	105700.84	18216.889	55735.6	120203.48	153101.38	125885.45	123262.305
PAM16	0	0	0	0	0	0	0	0	0	46640.617	102232.15	82885.51	0	0	0
AK6	0	0	14534.617	52082.113	68796.64	45052.58	0	18533.475	0	0	0	0	29850.863	53163.676	44947.2
MRPS23	0	0	0	0	0	0	0	0	0	8581.031	68123.84	29212.814	0	0	0
BOLA1	0	0	0	29097.332	32053.387	0	0	0	0	0	0	0	0	0	29106.998
PTRH2	0	95218.805	81088.484	18660.492	19288.543	62489.426	0	0	0	0	0	0	100558.04	12651.24	57320.633
STRAP	960370.25	1003426.7	785664.2	892867.3	967652.25	657025.4	307103.9	402817.38	327332.9	496942.3	611915.9	501899.6	1197870.6	1111393.9	1334964.6
RTCB	103914.34	116419.12	295746.75	327621	316716.12	316201.72	35233.43	0	0	61763.605	91866.125	87115.31	39406.414	256883.53	176634.62
FBXO7	26589.951	37557.05	0	22444.22	24746.084	26778.344	0	0	0	0	0	0	28771.062	30718.469	34618.242
RHBDD3	0	0	0	0	1.16E+07	1.07E+07	0	0	0	0	0	0	22076.121	0	0
RABGAP1	202988.66	258815.66	198692.28	156668.28	138797.11	163697.95	0	0	0	0	0	0	3270819.2	3905914.5	3159909
GRIP1	15805.201	0	0	26529.248	8578.417	20786.873	0	0	0	0	0	0	18519.928	34453.305	25294.988
DOP1B	218295.47	228961.42	164396.2	20104.871	0	41906.83	0	0	0	0	0	0	1398097.1	1043181.1	1146877.8
WNK2	42882.21	96707.68	75202.58	0	0	0	0	0	0	0	0	0	0	0	0
R3HCC1	0	0	0	10284.787	0	0	0	0	0	0	0	0	0	0	17567.088
NOC2L	173026.72	259936.94	316212.62	0	0	0	0	0	0	0	0	0	49194.508	0	43332.05
RPL36	0	83515.375	75057.4	67173.3	57685.047	61685.746	0	18859.432	32793.234	16537.332	10576.194	35846.84	87036.72	69431.66	83327.76
SAMHD1	462726.2	470778.16	337393.75	10026.147	89496.5	67927.96	15900.184	17798.715	13694.332	11583.801	0	13102.971	130316.85	113541.625	106712.36
HBS1L	759497.4	559121.7	689790.44	331159.62	319980.3	471513	0	0	7695.088	0	0	0	276338.5	509178.84	498032.38
ZNF711	655950.75	751390.9	669872.3	0	0	0	0	0	0	0	0	0	100643.24	62189.906	78011.61
SALL2	632086	672527.56	675485.1	0	0	13450.49	0	0	0	0	0	0	25123.414	14969.681	21643.336
PRKAB1	53828.867	20119.053	458508.7	84596.34	60513.703	67037.51	0	0	0	0	0	0	129662.61	101011.016	132090.44
WDR45	241251.03	265814.8	327344.2	40917.664	21786.047	61433.98	0	0	0	0	0	0	462216.22	611916.7	502096.06
DMXL1	61312.367	156325.84	95983.34	34350.95	43074.77	47457.453	0	0	0	0	0	0	429636.03	338550.5	344263.38
ATP6V0A2	0	0	0	12945.6045	0	0	0	0	0	0	0	0	55505.086	0	24709.31
TLN1	1294573.5	1345376.8	1126017.5	2527957	2120821.2	3005727.8	3205.9326	0	0	0	3213223.8	30527.502	1150445.5	1184743.8	1305933.9
KIF3A	0	0	0	0	0	0	17899.412	0	0	0	0	0	4461.2266	0	0
TRRAP	688260.1	796321.8	967547.5	194493.39	62208.938	214278.77	0	0	0	0	0	52883.258	461793.47	221665.03	211881.19
MTCL1	0	11141.857	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF1	64325.258	31123.742	78759.695	0	0	0	0	0	0	0	0	0	0	0	0
KDM3A	38031.805	110703.49	0	0	0	0	0	0	0	0	0	0	0	0	0
TCAF1	64039.855	0	67851.08	37058.105	37421.797	17524.857	0	0	0	0	0	0	51269.5	11619.223	21750.445
MFHAS1	0	0	0	0	0	4191.5166	0	0	0	0	0	0	0	0	0
RBM19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAAM1	0	0	0	491035.94	318705.1	444012.84	0	0	0	0	0	0	0	0	0
PLXND1	0	0	0	0	0	0	0	0	0	0	0	0	8428.455	48427.516	31471.787
HECTD4	38509.31	71275.53	151925.42	0	0	0	0	0	0	0	0	0	35550.895	27587.346	36688.582
WASHC2C	110672.125	139873.92	131529.61	87303.875	81773.09	175444.97	0	0	0	0	0	0	86924.22	40749.906	148171.88
ZNF451	85094.39	105427.38	64688	0	0	0	0	0	0	0	0	0	0	0	0
WDR7	8985.91	16305.284	5950.473	42230.73	26702.229	29408.613	0	0	0	0	0	0	374750.28	362693.12	392323.94
USP15	273113.94	279509	161269.11	26774.953	38205.64	61879.31	0	0	5205.585	0	0	0	171106.9	201330.31	181400.4
FARP1	28601.934	77719.11	94941.43	438536.7	440039.72	550291.1	0	0	0	0	0	0	207415.53	166340.44	116661.805
MARF1	176493.6	249685.34	293013.34	0	14005.627	0	0	0	0	0	0	0	73763.59	19115.115	49556.73
CEP170B	0	15818.734	0	0	0	0	0	0	0	0	0	0	0	0	0
TLN2	0	0	0	4128.369	0	6005.0737	0	0	0	0	0	0	0	0	0
IRS2	159573.52	91205.76	131681	76174.08	23832.58	62746.297	0	0	0	0	0	0	96295.45	16415.637	76218.88
MYO5A	330662.8	393726.97	343818.1	127120.58	87219.336	91351.18	0	0	0	0	0	0	3282141	3223021.8	3279398.2
TESMIN	0	19111.14	0	0	0	0	0	0	0	0	0	0	0	0	0
DTNA	43270.586	0	0	254662.19	176025.08	323314.44	0	0	0	397431.6	0	0	46009.953	39139.215	50860.348
CRYBG1	0	0	0	0	0	6201.264	0	0	0	0	0	0	0	0	7171.146
MAP4K5	46181.906	56466.695	35285.992	116514.05	135773.9	167043.88	0	0	0	0	0	0	37261.105	20786.246	44849.246
HYOU1	0	0	0	6240.5825	0	8883.247	0	0	0	0	0	0	0	0	0
ATG4B	0	0	0	0	0	0	0	0	0	0	0	0	24903.496	0	27872.242
TBL2	73949.266	123794.11	87886.22	85110.414	47261.67	69947.28	0	6248.601	8776.77	5694.675	7506.1294	11970.395	112993.56	88047.234	98284.83
WIPI2	136556.34	132584.31	92567.016	84281.55	122780.195	45362.402	0	0	0	0	0	0	124017.11	192393.75	120025.53
TELO2	204331.25	261776.69	154117.1	165153.33	112095.16	211869.23	0	0	0	0	0	0	175486.78	136127.03	113191.19
LAS1L	346900.1	835578.94	408851.66	113732.82	146701.3	150745.72	0	0	0	0	36088.6	20966.184	216729.11	184345.17	198668.52
AFG3L2	12556.683	0	0	0	0	0	0	0	0	64883.56	469598.72	295061.62	0	0	0
ARIH1	0	0	0	0	20645.762	0	0	0	0	0	12990.849	17149.252	0	23758.902	23721.629
LSM4	0	0	0	0	0	0	0	0	0	0	0	0	23908.475	0	0
RNF114	0	0	0	0	0	0	0	0	0	0	0	0	33222.418	0	57418.082
SAMM50	0	0	0	23489.553	0	21050.31	0	0	0	0	0	0	0	0	0
TMEM184B	0	0	0	0	0	0	0	0	0	0	0	0	25208.92	18787.363	22830.625
