Bait	PreyGene	#Rep	#Pep	#Frag	AvgP	BFDR
MAPRE3	DNM1L	3	23	13|13|13|13|13|26|13|13|25|13|13|13|13|12|13|26|13|13|26|13|13|26|13	0.5706	0.1548
ACTB	DNM2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.9746	0.0154
CTNNA1	DNM2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.1432	0.4163
KRT8	DNM2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.9763	0.0139
LMNA	DNM2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.2082	0.3725
MAPRE3	DNM2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.4094	0.2302
ACTB	DNMBP	3	31	13|13|13|13|13|13|13|13|13|13|13|13|25|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.7933	0.0716
CTNNA1	DNMBP	3	31	13|13|13|13|13|13|13|13|13|13|13|13|25|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.0587	0.4708
KRT8	DNMBP	3	31	13|13|13|13|13|13|13|13|13|13|13|13|25|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.9808	0.0100
LMNA	DNMBP	3	31	13|13|13|13|13|13|13|13|13|13|13|13|25|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.0659	0.4678
MAPRE3	DNMBP	3	31	13|13|13|13|13|13|13|13|13|13|13|13|25|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.5862	0.1508
ACTB	DNMT1	3	19	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13	0.4840	0.1939
CTNNA1	DNMT1	3	19	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13	0.1218	0.4238
KRT8	DNMT1	3	19	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13	0.6061	0.1454
LMNA	DNMT1	3	19	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13	0.8599	0.0509
MAPRE3	DNMT1	3	19	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13	0.4285	0.2199
LMNA	DNMT3A	3	5	13|13|13|9|13	0.4159	0.2279
ACTB	DNMT3L	3	1	13	0.3329	0.2887
ACTB	DNPEP	3	6	13|13|13|13|13|13	0.6518	0.1218
CTNNA1	DNPEP	3	6	13|13|13|13|13|13	0.8618	0.0504
KRT8	DNPEP	3	6	13|13|13|13|13|13	0.4378	0.2130
