Bait,Prey
EGFR,RPLP0
EGFR,C1QTNF5
EGFR,AP3S1
EGFR,NUP153
EGFR,GLB1
EGFR,NAT9
EGFR,RAB3C
EGFR,CYFIP2
EGFR,MAP3K4
EGFR,SIRPA
EGFR,PARD6G
EGFR,PRDX6
EGFR,CALCOCO1
EGFR,RSU1
EGFR,SLC2A13
EGFR,CCNL2
EGFR,SLC6A3
EGFR,SEZ6
EGFR,HHIP
EGFR,SLC39A14
EGFR,PALB2
EGFR,PLAU
EGFR,VCP
EGFR,PALLD
EGFR,PRKCSH
EGFR,ATP5IF1
EGFR,STRN3
EGFR,EPB41L5
EGFR,XAB2
EGFR,SMIM1
EGFR,erlin1-erlin2_human
EGFR,BDH1
EGFR,RPL7
EGFR,NHERF4
EGFR,LYPLA1
EGFR,GOLT1B
EGFR,LIPJ
EGFR,IL13RA2
EGFR,IL12RB2
EGFR,PPP2R1B
EGFR,CHMP1B
EGFR,ARRDC3
EGFR,NSG1
EGFR,CD28
EGFR,MUC17
EGFR,PPP1R9B
EGFR,SLC22A4
EGFR,ANXA7
EGFR,WDR44
EGFR,TUBB
EGFR,ACTC1
EGFR,TUG1
EGFR,CASP9
EGFR,VRK2
EGFR,CIDEB
EGFR,MRGPRF
EGFR,CAV2
EGFR,PDCD6IP
EGFR,ATG12
EGFR,VCAM1
EGFR,GALNT6
EGFR,SIGLEC15
EGFR,PSMF1
EGFR,GPR62
EGFR,VTA1
EGFR,TBC1D2
EGFR,CLCA2
EGFR,TMEM150B
EGFR,MYO9B
EGFR,RAB38
EGFR,CHMP2B
EGFR,CGNL1
EGFR,wash_human-1-2
EGFR,GPSM2
EGFR,USP10
EGFR,UGGT2
EGFR,LAMTOR2
EGFR,IPO5
EGFR,VPS33B
EGFR,NSG2
EGFR,STAU2
EGFR,MRGPRX1
EGFR,NUFIP1
EGFR,PADI3
EGFR,IFIT5
EGFR,GGA3
EGFR,HLA-DQA1
EGFR,TMEM18
EGFR,PEX11G
EGFR,FOLH1
EGFR,FAS
EGFR,ACTN3
EGFR,AKAP7
EGFR,HNF1B
EGFR,ITGB4
EGFR,MLKL
EGFR,BNIP1
EGFR,LRP8
EGFR,CNNM2
EGFR,CBLB
EGFR,SCNN1A
EGFR,RP2
EGFR,CDK5R1
EGFR,EPS8L2
EGFR,MOB4
EGFR,KLK6
EGFR,MAP7
EGFR,MAK16
EGFR,FAM168B
EGFR,RPL22
EGFR,RD3
EGFR,SLC46A2
EGFR,LPL
EGFR,AZU1
EGFR,ITPA
EGFR,MOSPD1
EGFR,CCR9
EGFR,escrt-i_human-5
EGFR,TNFRSF11B
EGFR,SIPA1
EGFR,FCGR1BP
EGFR,CTSG
EGFR,EIF5A2
EGFR,RAB3A
EGFR,THAP1
EGFR,PIK3C2B
EGFR,PRKCD
EGFR,MTMR14
EGFR,MAGEL2
EGFR,PTPN23
EGFR,LPAR1
EGFR,NPAP1
EGFR,LAMTOR1
EGFR,LAMTOR3
EGFR,RTN2
EGFR,THEM4
EGFR,RAD51AP2
EGFR,kcne2-kcnh2_human
EGFR,CHD8
EGFR,KLHL22
EGFR,ARPC5
EGFR,PGK1
EGFR,RBM39
EGFR,crumbs_human-2
EGFR,EPGN
EGFR,ESR2
EGFR,RHBG
EGFR,SLC39A5
EGFR,GABRB3
EGFR,EFNB1
EGFR,PICALM
EGFR,RFTN1
EGFR,PCP4
EGFR,TRABD2A
EGFR,MAL2
EGFR,CASS4
EGFR,NPIPA1
EGFR,RAD1
EGFR,CYP2B6
EGFR,GLDN
EGFR,PARD6B
EGFR,ZBED1
EGFR,ACAP2
EGFR,PMF1
EGFR,EI24
EGFR,BEST2
EGFR,FGF10
EGFR,MACO1
EGFR,VWDE
EGFR,TAB3
EGFR,PLIN3
EGFR,ATP9A
EGFR,DNM1L
EGFR,SLC29A2
EGFR,RAP1GAP2
EGFR,RAN
EGFR,RGS4
EGFR,USP7
EGFR,GNA12
EGFR,SLC66A2
EGFR,WASHC1
EGFR,RPS11
EGFR,COQ5
EGFR,ATP8A2
EGFR,PRLR
EGFR,NRXN2
EGFR,INPPL1
EGFR,NOTCH4
EGFR,TACR1
EGFR,ARHGAP33
EGFR,SLC39A6
EGFR,SPARC
EGFR,SYT3
EGFR,SLC39A2
EGFR,SMAD7
EGFR,NPC1
EGFR,ANO10
EGFR,NHLRC1
EGFR,CLN3
EGFR,NACC1
EGFR,SNX17
EGFR,PPP1R12A
EGFR,TTBK1
EGFR,RESP18
EGFR,MLF1
EGFR,GABARAPL3
EGFR,CCDC22
EGFR,TREM2
EGFR,SYNE3
EGFR,STIP1
EGFR,ZNF185
EGFR,PAF1
EGFR,WDR83
EGFR,NOMO2
EGFR,CIR1
EGFR,TLR7
EGFR,P4HA1
EGFR,HYAL1
EGFR,CAVIN2
EGFR,wash_human-1-5
EGFR,SEPHS1
EGFR,ARK2C
EGFR,BAG5
EGFR,TPO
EGFR,LYPD6
EGFR,HERC5
EGFR,SLC16A12
EGFR,LYN
EGFR,C2CD5
EGFR,NUP98
EGFR,KCNS2
EGFR,TMEM38B
EGFR,ALCAM
EGFR,TRAK2
EGFR,LRWD1
EGFR,CEACAM19
EGFR,ITGAM
EGFR,CLEC16A
EGFR,DPYSL5
EGFR,KLRK1
EGFR,PPIE
EGFR,RBM4
EGFR,PALM
EGFR,CD93
EGFR,FERMT2
EGFR,RPS12
EGFR,CA12
EGFR,ACVR2A
EGFR,FUCA1
EGFR,LILRB2
EGFR,SMO
EGFR,wash_human-1-4
EGFR,PYHIN1
EGFR,PTPRO
EGFR,MTPAP
EGFR,STAM
EGFR,OSCP1
EGFR,KRIT1
EGFR,ANXA8L1
EGFR,RILP
EGFR,PCSK2
EGFR,OCIAD1
EGFR,URS000013D17D_9606
EGFR,PSD3
EGFR,LAX1
EGFR,BMPR1A
EGFR,PAK2
EGFR,APPL1
EGFR,CENPF
EGFR,ROBO1
EGFR,TRAPPC12
EGFR,DENND4A
EGFR,CAMK2G
EGFR,TLR1
EGFR,SLC2A9
EGFR,OPRL1
EGFR,CTNND1
EGFR,SLC4A1AP
EGFR,RBBP4
EGFR,TICAM1
