Bait,Prey
EGFR,TFPI2
EGFR,PLOD1
EGFR,HEXB
EGFR,CACHD1
EGFR,ITGAV
EGFR,MFGE8
EGFR,UGGT2
EGFR,NEU1
EGFR,QSOX2
EGFR,CNNM3
EGFR,TPP2
EGFR,CCPG1
EGFR,ANXA5
EGFR,PLOD2
EGFR,IGF2R
EGFR,FBN2
EGFR,FAM83G
EGFR,FNBP1
EGFR,GGH
EGFR,EXT2
EGFR,HOOK1
EGFR,NEDD1
EGFR,SORBS1
EGFR,ARL13B
EGFR,RPS6KA1
EGFR,VASP
EGFR,KIF16B
EGFR,BAG3
EGFR,HSPA12A
EGFR,MICAL3
EGFR,FAM171A1
EGFR,ABI2
EGFR,CTSB
EGFR,LIFR
EGFR,ATP1B3
EGFR,TTC13
EGFR,COCH
EGFR,SCO2
EGFR,TFAM
EGFR,PA2G4
EGFR,FANCI
EGFR,NUP210
EGFR,CLTC
EGFR,ANKFY1
EGFR,NUP188
EGFR,HLA-H
EGFR,SMURF1
EGFR,ADAM10
EGFR,TXNIP
EGFR,ITGA5
EGFR,HMGA2
EGFR,ITGA2
EGFR,NFXL1
EGFR,HEATR1
EGFR,RICTOR
EGFR,FKBP5
EGFR,SERPINB5
EGFR,IARS2
EGFR,BASP1
EGFR,M6PR
EGFR,ERO1LB
EGFR,KDELC1
EGFR,IL6ST
EGFR,PLXNB2
EGFR,CLIC4
EGFR,LGALS3BP
EGFR,TIMP1
EGFR,CHPF2
EGFR,RPSA
EGFR,ANXA11
EGFR,ACO2
EGFR,HLA-C
EGFR,DNAJC3
EGFR,ADAMTS1
EGFR,SEPT6
EGFR,DIP2B
EGFR,RNF125
EGFR,CRCT1
EGFR,GPATCH8
EGFR,BRK1
EGFR,NISCH
EGFR,HN1
EGFR,SLCO3A1
EGFR,TEKT2
EGFR,TMEM2
EGFR,ZDHHC5
EGFR,IL1RAPL2
EGFR,HECW2
EGFR,RCC2
EGFR,GPATCH2
EGFR,SERTAD4
EGFR,EXOSC3
EGFR,INCENP
EGFR,VPS45
EGFR,TRHDE
EGFR,EGLN1
EGFR,GRID1
EGFR,SLC45A2
EGFR,KRT3
EGFR,PCDHGA3
