Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PSMA4	Q96IZ5	Q96IZ5	0.397|0.519|0.522|0.440	1.878	0.469	4	0.595|0.596|0.438|0.490	0.000	0.000	0.000	0.000	0.000	-14.552	0.894	0.839	
PSMA4	Q96IZ7	Q96IZ7	2.213|2.551|2.777|1.708	9.249	2.312	4	1.228|0.978|1.393|0.990	0.495	0.994	0.495	0.994	0.495	-10.868	2.039	0.194	
PSMA4	Q96J01	Q96J01	1.314|2.110|2.298|1.470	7.191	1.798	4	1.364|1.749|1.675|1.246	0.000	0.000	0.000	0.000	0.000	-14.552	1.204	0.737	
PSMA4	Q96J02	Q96J02	0.237|0.765|0.697|0.654	2.354	0.588	4	0.717|0.808|0.803|0.677	0.000	0.000	0.000	0.000	0.000	-14.552	0.785	0.821	
PSMA4	Q96J84	Q96J84	0.771|0.780|0.836|0.391	2.778	0.694	4	0.883|0.773|0.598|0.669	0.000	0.000	0.000	0.000	0.000	-14.552	0.960	0.799	
PSMA4	Q96JB2	Q96JB2	0.648|0.406|0.366|0.680	2.100	0.525	4	0.335|0.330|0.365|0.275	0.195	0.676	0.195	0.676	0.195	-14.236	1.617	0.420	
PSMA4	Q96JB3	Q96JB3	1.632|0.875|0.943|0.907	4.357	1.089	4	0.818|0.969|0.958|0.935	0.000	0.001	0.000	0.001	0.000	-14.552	1.187	0.680	
PSMA4	Q96JB5	Q96JB5	0.493|0.785|0.655|0.589	2.522	0.631	4	0.339|0.617|0.488|0.471	0.000	0.001	0.000	0.001	0.000	-14.521	1.348	0.682	
PSMA4	Q96JC1	Q96JC1	0.369|0.347|0.405|0.488	1.609	0.402	4	0.213|0.233|0.195|0.190	0.255	0.986	0.255	0.986	0.255	-8.701	1.943	0.329	
PSMA4	Q96JG6	Q96JG6	0.440|0.389|0.532|0.326	1.687	0.422	4	0.407|0.192|0.352|0.302	0.004	0.014	0.004	0.014	0.004	-12.820	1.396	0.611	
PSMA4	Q96JH7	Q96JH7	1.041|1.246|1.190|0.856	4.333	1.083	4	0.568|0.721|0.810|0.572	0.001	0.004	0.001	0.004	0.001	-13.099	1.641	0.634	
PSMA4	Q96JI7	Q96JI7	0.789|0.451|0.421|0.437	2.098	0.524	4	0.350|0.341|0.503|0.380	0.061	0.242	0.061	0.242	0.061	-14.417	1.349	0.498	
PSMA4	Q96JJ3	Q96JJ3	0.914|0.661|0.634|0.689	2.898	0.725	4	0.862|0.833|0.782|0.679	0.000	0.000	0.000	0.000	0.000	-14.552	0.922	0.802	
PSMA4	Q96JK9	Q96JK9	0.666|0.782|0.582|1.055	3.085	0.771	4	1.277|1.462|1.705|1.396	0.000	0.000	0.000	0.000	0.000	-14.552	0.531	0.839	
PSMA4	Q96JM2	Q96JM2	0.332|0.184|0.211|0.197	0.925	0.231	4	0.128|0.179|0.099|0.099	0.250	0.994	0.250	0.994	0.250	-8.743	1.891	0.358	
PSMA4	Q96JM3	Q96JM3	2.253|4.148|3.857|2.834	13.092	3.273	4	1.767|2.319|2.334|2.006	0.018	0.069	0.018	0.069	0.018	-14.432	1.564	0.562	
PSMA4	Q96JM7	Q96JM7	0.231|0.636|0.702|0.293	1.862	0.466	4	0.346|0.305|0.233|0.192	0.487	0.996	0.487	0.996	0.487	-14.552	1.774	0.209	
PSMA4	Q96JN0	Q96JN0	0.616|0.389|0.315|0.443	1.763	0.441	4	0.470|0.599|0.584|0.576	0.000	0.000	0.000	0.000	0.000	-14.552	0.794	0.809	
PSMA4	Q96JN8	Q96JN8	0.590|0.358|0.464|0.638	2.051	0.513	4	0.408|0.995|0.778|0.514	0.000	0.000	0.000	0.000	0.000	-14.552	0.808	0.724	
PSMA4	Q96JP5	Q96JP5	0.320|0.865|0.735|0.387	2.307	0.577	4	0.730|0.914|0.806|0.609	0.000	0.000	0.000	0.000	0.000	-14.552	0.762	0.804	
