Bait	PreyGene	#Rep	AvgP	BFDR
MEPCE	TPD52L2	3	0.0000	0.6827
MEPCE	COCH	3	0.3333	0.2157
MEPCE	SYNJ1	3	0.0001	0.6560
EIF4A2	FIBP	3	0.0000	0.6827
MEPCE	FIBP	3	0.0000	0.6827
EIF4A2	EIF4G3	3	1.0000	0.0000
MEPCE	EIF4G3	3	0.0066	0.5297
EIF4A2	PPIH	3	0.3307	0.3365
MEPCE	PPIH	3	1.0000	0.0000
EIF4A2	EPB41L2	3	0.0000	0.6827
MEPCE	EPB41L2	3	0.0000	0.6827
EIF4A2	DENR	3	0.0000	0.6827
MEPCE	DENR	3	0.0049	0.5439
EIF4A2	XPOT	3	0.3333	0.2157
MEPCE	XPOT	3	0.0000	0.6827
EIF4A2	TIMM44	3	0.0000	0.6827
MEPCE	TIMM44	3	0.0000	0.6827
EIF4A2	TRAPPC3	3	0.0000	0.6827
MEPCE	TRAPPC3	3	0.0000	0.6827
EIF4A2	CHMP2A	3	0.0000	0.6827
MEPCE	CHMP2A	3	0.0000	0.6827
MEPCE	PRC1	3	0.6667	0.0325
EIF4A2	ZNF207	3	0.0000	0.6827
MEPCE	ZNF207	3	0.0002	0.6444
EIF4A2	GET3	3	0.0000	0.6827
MEPCE	GET3	3	0.0000	0.6827
EIF4A2	BUB3	3	0.0000	0.6827
MEPCE	BUB3	3	0.0000	0.6827
EIF4A2	ACTN4	3	0.0000	0.6827
MEPCE	ACTN4	3	0.0000	0.6827
MEPCE	BUD23	3	0.6667	0.0325
EIF4A2	HTATSF1	3	0.0000	0.6827
MEPCE	HTATSF1	3	0.0000	0.6827
EIF4A2	AP1G1	3	0.0000	0.6827
MEPCE	AP1G1	3	0.0000	0.6827
MEPCE	SYNGR2	3	0.0413	0.4520
EIF4A2	ENSA	3	0.0000	0.6827
MEPCE	ENSA	3	0.0000	0.6827
EIF4A2	NARS1	3	0.0000	0.6827
MEPCE	NARS1	3	0.0017	0.5855
EIF4A2	MYO1B	3	0.0000	0.6827
MEPCE	MYO1B	3	0.2825	0.3588
EIF4A2	SLC25A17	3	0.3339	0.2013
MEPCE	SLC25A17	3	1.0000	0.0000
EIF4A2	NUDT21	3	0.0000	0.6827
MEPCE	NUDT21	3	0.0000	0.6827
EIF4A2	STRN	3	0.0000	0.6827
MEPCE	STRN	3	0.0564	0.4346
EIF4A2	GTPBP6	3	0.3357	0.1875
EIF4A2	IDH3B	3	0.0000	0.6827
MEPCE	IDH3B	3	0.0000	0.6827
EIF4A2	CALU	3	0.0000	0.6827
MEPCE	CALU	3	0.0032	0.5624
MEPCE	AHCYL1	3	0.3334	0.2112
MEPCE	ORC5	3	0.0000	0.6827
MEPCE	RAD21	3	0.3333	0.2157
MEPCE	TIMM8A	3	0.0000	0.6827
EIF4A2	DHX16	3	0.0000	0.6827
MEPCE	DHX16	3	0.6665	0.1041
EIF4A2	ZNRD2	3	0.0000	0.6827
MEPCE	ZNRD2	3	0.0008	0.6093
EIF4A2	PRPSAP2	3	0.0001	0.6560
MEPCE	PRPSAP2	3	0.0001	0.6560
EIF4A2	SPAG9	3	0.0000	0.6827
MEPCE	SPAG9	3	0.0011	0.5991
EIF4A2	KIF5C	3	0.0000	0.6827
MEPCE	KIF5C	3	0.0000	0.6827
EIF4A2	OPA1	3	0.0000	0.6827
MEPCE	OPA1	3	0.0085	0.5202
EIF4A2	KDM1A	3	0.0000	0.6827
MEPCE	KDM1A	3	0.3335	0.2079
EIF4A2	TBC1D4	3	0.0000	0.6827
MEPCE	TBC1D4	3	0.0000	0.6827
MEPCE	ACSL4	3	0.3333	0.2157
MEPCE	SNX3	3	0.6667	0.0325
EIF4A2	OGA	3	0.0000	0.6827
MEPCE	OGA	3	0.0000	0.6827
EIF4A2	SYNCRIP	3	0.9683	0.0007
MEPCE	SYNCRIP	3	1.0000	0.0000
EIF4A2	NEMF	3	0.0000	0.6827
MEPCE	NEMF	3	0.0004	0.6296
EIF4A2	CCNT1	3	0.9999	0.0000
MEPCE	CCNT1	3	1.0000	0.0000
EIF4A2	EIF4E2	3	0.0000	0.6827
MEPCE	EIF4E2	3	0.0000	0.6827
EIF4A2	CCNT2	3	0.0036	0.5581
MEPCE	CCNT2	3	0.9983	0.0000
EIF4A2	DIAPH1	3	0.0000	0.6827
MEPCE	DIAPH1	3	0.0000	0.6827
EIF4A2	EXOC3	3	0.0000	0.6827
MEPCE	EXOC3	3	0.0000	0.6827
EIF4A2	PRMT3	3	0.0000	0.6827
MEPCE	PRMT3	3	0.0209	0.4843
EIF4A2	KPNA6	3	0.0000	0.6827
MEPCE	KPNA6	3	0.0014	0.5922
EIF4A2	CTNND1	3	0.0000	0.6827
MEPCE	CTNND1	3	0.0003	0.6354
EIF4A2	EIF1;EIF1B	3	0.0000	0.6827
MEPCE	EIF1;EIF1B	3	0.0000	0.6827
EIF4A2	DPM1	3	0.0000	0.6827
MEPCE	DPM1	3	0.0000	0.6827
EIF4A2	USO1	3	0.0000	0.6827
MEPCE	USO1	3	0.0000	0.6827
MEPCE	MRPS14	3	0.6654	0.1074
EIF4A2	H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	3	0.0000	0.6827
MEPCE	H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	3	0.9021	0.0033
EIF4A2	PFKFB2	3	0.0000	0.6827
EIF4A2	CCDC22	3	0.0000	0.6827
MEPCE	CCDC22	3	0.0696	0.4242
EIF4A2	PQBP1	3	0.0000	0.6827
MEPCE	PQBP1	3	0.0000	0.6827
EIF4A2	PRAF2	3	0.0000	0.6827
MEPCE	PRAF2	3	0.0002	0.6444
EIF4A2	DKC1	3	0.0000	0.6827
MEPCE	DKC1	3	0.0000	0.6827
EIF4A2	EIF5B	3	0.3376	0.1795
MEPCE	EIF5B	3	0.0004	0.6296
EIF4A2	EDF1	3	0.0000	0.6827
MEPCE	EDF1	3	0.0000	0.6827
EIF4A2	KIN	3	0.0012	0.5968
MEPCE	KIN	3	0.0000	0.6827
EIF4A2	DNAJA2	3	0.0000	0.6827
MEPCE	DNAJA2	3	0.0000	0.6827
MEPCE	RNASEH1	3	0.6667	0.0325
EIF4A2	ABCB7	3	0.3333	0.2157
MEPCE	ABCB7	3	0.3333	0.2157
MEPCE	ROCK2	3	0.0089	0.5183
EIF4A2	CLASP2	3	0.0000	0.6827
MEPCE	CLASP2	3	0.0000	0.6827
EIF4A2	CPNE3	3	0.0000	0.6827
MEPCE	CPNE3	3	0.0000	0.6827
EIF4A2	OBSL1	3	0.0000	0.6827
MEPCE	OBSL1	3	0.0002	0.6444
EIF4A2	RNF40	3	0.0000	0.6827
MEPCE	RNF40	3	0.6806	0.0236
EIF4A2	CLUH	3	0.0000	0.6827
MEPCE	CLUH	3	0.0000	0.6827
MEPCE	CAND2	3	0.0001	0.6560
EIF4A2	TSC22D2	3	0.0000	0.6827
MEPCE	TSC22D2	3	0.0061	0.5349
MEPCE	DNAJC13	3	0.6667	0.0325
EIF4A2	PPP6R2	3	0.3412	0.1736
MEPCE	PPP6R2	3	0.3226	0.3440
EIF4A2	CNOT3	3	0.0000	0.6827
MEPCE	CNOT3	3	0.2081	0.3771
EIF4A2	ANKRD17	3	0.0000	0.6827
MEPCE	ANKRD17	3	0.0001	0.6560
EIF4A2	DNAJB6;DNAJB8	3	0.0000	0.6827
MEPCE	DNAJB6;DNAJB8	3	0.0000	0.6827
MEPCE	NDUFS7	3	0.0003	0.6354
EIF4A2	NDUFS2	3	0.0010	0.6030
MEPCE	NDUFS2	3	0.6671	0.0318
EIF4A2	NIPSNAP2	3	0.0000	0.6827
MEPCE	NIPSNAP2	3	0.0000	0.6827
EIF4A2	PDCD6	3	0.0000	0.6827
MEPCE	PDCD6	3	0.0000	0.6827
EIF4A2	TBCA	3	0.6667	0.0325
MEPCE	TBCA	3	0.3333	0.2157
MEPCE	ATP6V1G1	3	0.0000	0.6827
EIF4A2	VPS4A;VPS4B	3	0.0000	0.6827
MEPCE	VPS4A;VPS4B	3	0.0000	0.6827
EIF4A2	MPDU1	3	0.0000	0.6827
MEPCE	MPDU1	3	0.0000	0.6827
EIF4A2	FLNB	3	0.0000	0.6827
MEPCE	FLNB	3	0.6519	0.1120
EIF4A2	CS	3	0.0000	0.6827
MEPCE	CS	3	0.0000	0.6827
EIF4A2	SEC22B	3	0.0000	0.6827
MEPCE	SEC22B	3	0.0000	0.6827
EIF4A2	PRPF40A	3	0.0000	0.6827
MEPCE	PRPF40A	3	0.0001	0.6560
EIF4A2	TACC1	3	0.0000	0.6827
MEPCE	TACC1	3	0.3333	0.2157
EIF4A2	PMPCB	3	0.0000	0.6827
MEPCE	PMPCB	3	0.0000	0.6827
EIF4A2	KATNA1	3	0.0000	0.6827
MEPCE	KATNA1	3	0.0000	0.6827
EIF4A2	PSIP1	3	0.0000	0.6827
MEPCE	PSIP1	3	0.0000	0.6827
EIF4A2	NDUFS3	3	0.3294	0.3382
MEPCE	NDUFS3	3	0.9759	0.0005
EIF4A2	SRSF10	3	0.0003	0.6354
MEPCE	SRSF10	3	0.9997	0.0000
EIF4A2	ECI2	3	0.0000	0.6827
MEPCE	ECI2	3	0.0000	0.6827
EIF4A2	KHDRBS3	3	0.3025	0.3533
MEPCE	KHDRBS3	3	0.0000	0.6827
EIF4A2	SF3B1	3	0.0000	0.6827
MEPCE	SF3B1	3	0.0001	0.6560
EIF4A2	CSDE1	3	0.0000	0.6827
MEPCE	CSDE1	3	0.0001	0.6560
EIF4A2	CRCP	3	0.0026	0.5691
MEPCE	CRCP	3	0.0591	0.4321
MEPCE	ERAL1	3	0.6667	0.0325
EIF4A2	SNRNP200	3	0.0000	0.6827
MEPCE	SNRNP200	3	0.0000	0.6827
EIF4A2	PPM1B	3	0.0000	0.6827
MEPCE	PPM1B	3	0.0000	0.6827
EIF4A2	NUP155	3	0.0000	0.6827
MEPCE	NUP155	3	0.0000	0.6827
EIF4A2	WDHD1	3	0.0000	0.6827
MEPCE	WDHD1	3	0.0013	0.5948
MEPCE	ATP6AP2	3	0.0160	0.4996
EIF4A2	CDC123	3	0.0000	0.6827
MEPCE	CDC123	3	0.0025	0.5714
MEPCE	POP7	3	0.6667	0.0325
EIF4A2	EIF3G	3	0.6124	0.1172
MEPCE	EIF3G	3	0.0740	0.4200
EIF4A2	EIF3J	3	0.0001	0.6560
MEPCE	EIF3J	3	0.0000	0.6827
EIF4A2	PSMD10	3	0.0000	0.6827
MEPCE	PSMD10	3	0.0034	0.5605
EIF4A2	ALDH1L1	3	0.0000	0.6827
MEPCE	ALDH1L1	3	0.0000	0.6827
MEPCE	ARL6IP5	3	0.3333	0.2157
EIF4A2	SERF1A	3	0.0045	0.5473
MEPCE	SERF1A	3	0.1608	0.3903
EIF4A2	DCTN3	3	0.0000	0.6827
MEPCE	DCTN3	3	0.0000	0.6827
EIF4A2	DNAJC8	3	0.0000	0.6827
MEPCE	DNAJC8	3	0.0181	0.4936
EIF4A2	SMNDC1	3	0.0001	0.6560
MEPCE	SMNDC1	3	0.6321	0.1158
MEPCE	TRIO	3	0.3333	0.2157
EIF4A2	CPD	3	0.0000	0.6827
MEPCE	CPD	3	0.0000	0.6827
EIF4A2	GLRX3	3	0.0000	0.6827
MEPCE	GLRX3	3	0.0002	0.6444
EIF4A2	RSL1D1	3	0.2900	0.3557
MEPCE	RSL1D1	3	1.0000	0.0000
EIF4A2	CLPX	3	0.0003	0.6354
MEPCE	CLPX	3	0.2441	0.3697
MEPCE	CIAO1	3	0.9999	0.0000
EIF4A2	SRP72	3	0.0000	0.6827
MEPCE	SRP72	3	0.0000	0.6827
EIF4A2	MTA2	3	0.0000	0.6827
MEPCE	MTA2	3	0.0000	0.6827
EIF4A2	LTN1	3	0.0000	0.6827
MEPCE	LTN1	3	0.0001	0.6560
EIF4A2	IPO13	3	0.0000	0.6827
EIF4A2	MYO1D	3	0.0006	0.6203
MEPCE	MYO1D	3	0.9994	0.0000
EIF4A2	PRPF6	3	0.0000	0.6827
MEPCE	PRPF6	3	0.0238	0.4788
EIF4A2	PCF11	3	0.6667	0.0325
MEPCE	PCF11	3	0.6667	0.0325
EIF4A2	HAUS5	3	0.0000	0.6827
MEPCE	HAUS5	3	0.0000	0.6827
EIF4A2	FBXO21	3	0.0000	0.6827
MEPCE	FBXO21	3	0.0000	0.6827
EIF4A2	AP2A2	3	0.0000	0.6827
MEPCE	AP2A2	3	0.0020	0.5798
EIF4A2	SEC31A	3	0.0000	0.6827
MEPCE	SEC31A	3	0.0000	0.6827
EIF4A2	HEXIM1	3	0.0055	0.5394
