Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
LMNA	Q07812	BAX	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q08188	TGM3	0|2|0	2	0.67	3	0|1|0|1|0|1|0|13|0	0.01	0.02	0.01	0.02	0.01	-7.71	0.38	0.63	
LMNA	Q08554	DSC1	0|9|0	9	3.00	3	0|0|0|4|0|0|5|20|0	0.10	0.30	0.10	0.30	0.10	-13.29	0.93	0.53	
LMNA	Q08752	PPID	0|1|0	1	0.33	3	2|5|2|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-4.48	0.33	0.75	
LMNA	Q09028	RBBP4	0|1|0	1	0.33	3	2|1|1|2|1|0|0|0|1	0.00	0.00	0.00	0.00	0.00	-4.73	0.38	0.75	
LMNA	Q10570	CPSF1	0|1|0	1	0.33	3	1|1|2|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-3.13	0.75	0.75	
LMNA	Q12768	WASHC5	0|6|1	7	2.33	3	0|8|8|0|0|1|0|0|0	0.15	0.46	0.15	0.46	0.15	-8.39	1.24	0.48	
LMNA	Q12849	GRSF1	0|1|1	2	0.67	3	0|2|5|0|1|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-5.04	0.75	0.75	
LMNA	Q12905	ILF2	0|1|0	1	0.33	3	0|0|0|0|0|1|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.93	3.00	0.75	
LMNA	Q12972	PPP1R8	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q12979	ABR	0|1|0	1	0.33	3	4|3|5|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-6.05	0.25	0.75	
LMNA	Q13118	KLF10	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q13126	MTAP	0|4|0	4	1.33	3	3|2|3|7|7|6|2|3|6	0.00	0.00	0.00	0.00	0.00	-19.37	0.31	0.75	
LMNA	Q13155	AIMP2	0|2|1	3	1.00	3	2|3|4|3|2|4|1|1|1	0.00	0.00	0.00	0.00	0.00	-10.61	0.43	0.75	
LMNA	Q13206	DDX10	0|1|0	1	0.33	3	6|3|8|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-8.46	0.18	0.75	
LMNA	Q13232	NME3	0|1|1	2	0.67	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	6.67	0.75	
LMNA	Q13310	PABPC4	0|1|0	1	0.33	3	6|4|3|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-6.52	0.23	0.75	
